index,condition,Estimate,ci_low,ci_high,SE,DF,time
1,Miss,0.82,-0.189,1.829,0.508,84.527,-2.8077441406249997
2,FTI,3.82,2.102,5.538,0.875,699.654,-2.8077441406249997
3,RP,0.649,-0.098,1.396,0.362,24.697,-2.8077441406249997
0,Hit,1.838,0.58,3.095,0.639,273.313,-2.7977441406249994
1,Miss,0.826,-0.135,1.788,0.485,100.61,-2.7977441406249994
2,FTI,3.661,1.968,5.354,0.863,917.024,-2.7977441406249994
3,RP,0.695,0.013,1.377,0.332,26.122,-2.7977441406249994
0,Hit,1.796,0.519,3.072,0.648,245.642,-2.7877441406249996
1,Miss,0.848,-0.138,1.834,0.496,92.118,-2.7877441406249996
2,FTI,3.373,1.667,5.08,0.869,801.541,-2.7877441406249996
3,RP,0.689,-0.025,1.404,0.347,25.356,-2.7877441406249996
0,Hit,2.043,0.752,3.334,0.655,204.783,-2.777744140625
1,Miss,1.021,0.009,2.034,0.509,79.564,-2.777744140625
2,FTI,3.056,1.349,4.762,0.869,640.023,-2.777744140625
3,RP,0.728,-0.03,1.487,0.368,24.073,-2.777744140625
0,Hit,2.019,0.765,3.274,0.637,227.604,-2.7677441406249996
1,Miss,1.08,0.107,2.054,0.49,86.181,-2.7677441406249996
2,FTI,2.866,1.195,4.536,0.851,734.9,-2.7677441406249996
3,RP,0.714,-0.0,1.427,0.346,24.435,-2.7677441406249996
0,Hit,1.734,0.507,2.96,0.623,251.032,-2.7577441406249994
1,Miss,0.928,-0.015,1.872,0.475,93.269,-2.7577441406249994
2,FTI,2.851,1.207,4.495,0.838,832.245,-2.7577441406249994
3,RP,0.627,-0.051,1.305,0.329,25.043,-2.7577441406249994
0,Hit,1.524,0.298,2.75,0.622,232.18,-2.7477441406249996
1,Miss,0.894,-0.055,1.843,0.478,87.497,-2.7477441406249996
2,FTI,2.894,1.259,4.53,0.833,754.645,-2.7477441406249996
3,RP,0.603,-0.091,1.296,0.336,24.494,-2.7477441406249996
0,Hit,1.436,0.221,2.651,0.617,229.993,-2.737744140625
1,Miss,0.982,0.041,1.924,0.474,86.646,-2.737744140625
2,FTI,2.648,1.028,4.269,0.826,748.557,-2.737744140625
3,RP,0.662,-0.026,1.349,0.333,24.259,-2.737744140625
0,Hit,1.343,0.139,2.548,0.612,249.011,-2.7277441406249996
1,Miss,0.961,0.034,1.887,0.467,92.522,-2.7277441406249996
2,FTI,2.437,0.823,4.051,0.822,826.07,-2.7277441406249996
3,RP,0.687,0.02,1.353,0.324,24.866,-2.7277441406249996
0,Hit,1.238,0.028,2.448,0.614,231.718,-2.7177441406249994
1,Miss,0.865,-0.073,1.803,0.472,87.588,-2.7177441406249994
2,FTI,2.947,1.334,4.559,0.821,749.262,-2.7177441406249994
3,RP,0.578,-0.109,1.264,0.333,24.697,-2.7177441406249994
0,Hit,1.245,-0.005,2.495,0.634,184.234,-2.7077441406249996
1,Miss,0.792,-0.198,1.781,0.497,73.322,-2.7077441406249996
2,FTI,3.324,1.683,4.964,0.835,560.814,-2.7077441406249996
3,RP,0.507,-0.248,1.261,0.365,23.468,-2.7077441406249996
0,Hit,1.429,0.191,2.668,0.628,186.408,-2.697744140625
1,Miss,0.788,-0.191,1.767,0.491,73.939,-2.697744140625
2,FTI,3.054,1.427,4.681,0.828,569.576,-2.697744140625
3,RP,0.581,-0.165,1.326,0.361,23.49,-2.697744140625
0,Hit,1.797,0.605,2.989,0.605,232.416,-2.6877441406249996
1,Miss,0.836,-0.087,1.76,0.465,87.869,-2.6877441406249996
2,FTI,3.212,1.624,4.8,0.809,751.066,-2.6877441406249996
3,RP,0.572,-0.103,1.248,0.328,24.781,-2.6877441406249996
0,Hit,2.07,0.866,3.273,0.61,215.402,-2.6777441406249998
1,Miss,0.896,-0.044,1.836,0.472,82.897,-2.6777441406249998
2,FTI,3.587,1.992,5.181,0.812,680.318,-2.6777441406249998
3,RP,0.463,-0.235,1.161,0.339,24.483,-2.6777441406249998
0,Hit,2.043,0.804,3.282,0.628,174.968,-2.6677441406249995
1,Miss,0.936,-0.051,1.922,0.495,70.792,-2.6677441406249995
2,FTI,3.305,1.687,4.924,0.824,522.913,-2.6677441406249995
3,RP,0.453,-0.307,1.213,0.368,23.474,-2.6677441406249995
