channel,betas,pvals,tstat,time,frequency
P1,0.00257156079497082,0.9704216591321073,0.03708296538608432,-0.5,18.73076923076923
C3,0.01741140235666156,0.8426952899940815,0.19846668401309267,-0.5,18.73076923076923
Cz,0.010083572950540177,0.8747843599083702,0.15759964550542552,-0.5,19.743589743589748
F1,-0.09641202309948554,0.4778592831298696,-0.7098510727598046,-0.5,19.743589743589748
P1,0.004359885816871896,0.9452262007298144,0.06870932556764757,-0.5,19.743589743589748
C3,-0.041984300275021647,0.6546988941299493,-0.447295042842933,-0.5,19.743589743589748
Cz,-0.029405285907741188,0.632834821438758,-0.47779636657845537,-0.5,20.756410256410252
F1,-0.08162045230960259,0.5688510457932192,-0.5698160835950583,-0.5,20.756410256410252
P1,0.015938663318885528,0.7831488856070897,0.27524588717412196,-0.5,20.756410256410252
C3,-0.11139456716948434,0.28866199744543014,-1.0612759662581404,-0.5,20.756410256410252
Cz,-0.06733947523446822,0.27892034865655446,-1.0829714638888586,-0.5,21.76923076923077
F1,-0.059219034026895156,0.7037134166192731,-0.38035390744634495,-0.5,21.76923076923077
P1,0.02838192507156642,0.5830640338570023,0.548982326441488,-0.5,21.76923076923077
C3,-0.16036181842700178,0.16651004276881176,-1.3838886824609518,-0.5,21.76923076923077
Cz,-0.08865361772704648,0.17931366070763802,-1.3432292438424405,-0.5,22.78205128205128
F1,-0.04502741412018825,0.7890703739550322,-0.26754521978055945,-0.5,22.78205128205128
P1,0.034342993556067854,0.44338166577349103,0.7666106098401394,-0.5,22.78205128205128
C3,-0.17045432323552528,0.16188197546260777,-1.399163490785987,-0.5,22.78205128205128
Cz,-0.08905007340527482,0.19438403860773207,-1.2980498847407025,-0.5,23.794871794871803
F1,-0.03886564963774689,0.8230059255644242,-0.22370282030259778,-0.5,23.794871794871803
P1,0.032549444962814846,0.39340770748302123,0.8535936561083548,-0.5,23.794871794871803
C3,-0.14974460108493892,0.22222349354203083,-1.2209262287070977,-0.5,23.794871794871803
Cz,-0.07611971462091704,0.24693995080294262,-1.1580717249227332,-0.5,24.80769230769231
F1,-0.03284540461545563,0.845333477734263,-0.19509522117241804,-0.5,24.80769230769231
P1,0.025754987367649387,0.4334547410827765,0.7834134553489364,-0.5,24.80769230769231
C3,-0.12140998160959568,0.3098674421409355,-1.0156965160867084,-0.5,24.80769230769231
Cz,-0.05977669246221993,0.2963640565699683,-1.0444699309936796,-0.5,25.820512820512818
F1,-0.022206424803330627,0.8859441680344888,-0.14345205731215172,-0.5,25.820512820512818
