index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
2,Hit - RP,0.043,-1.066,1.152,0.42,3298.0,0.103,1.0,,-1.8877441406249995
3,Miss - FTI,0.447,-1.206,2.099,0.626,3298.0,0.713,1.0,,-1.8877441406249995
4,Miss - RP,0.13,-0.702,0.962,0.315,3298.0,0.412,1.0,,-1.8877441406249995
5,FTI - RP,-0.317,-1.854,1.221,0.582,3298.0,-0.544,1.0,,-1.8877441406249995
0,Hit - Miss,0.074,-1.222,1.37,0.491,2179.4,0.151,1.0,,-1.8777441406249995
1,Hit - FTI,-0.234,-2.087,1.618,0.702,2695.149,-0.334,1.0,,-1.8777441406249995
2,Hit - RP,-0.06,-1.201,1.081,0.432,1285.072,-0.139,1.0,,-1.8777441406249995
3,Miss - FTI,-0.309,-2.0,1.383,0.641,3126.747,-0.481,1.0,,-1.8777441406249995
4,Miss - RP,-0.134,-0.993,0.725,0.325,733.825,-0.413,1.0,,-1.8777441406249995
5,FTI - RP,0.174,-1.399,1.747,0.596,3247.439,0.293,1.0,,-1.8777441406249995
0,Hit - Miss,0.108,-1.212,1.429,0.5,2233.563,0.216,1.0,,-1.867744140625
1,Hit - FTI,-0.431,-2.317,1.456,0.715,2731.15,-0.603,1.0,,-1.867744140625
2,Hit - RP,-0.006,-1.169,1.157,0.44,1337.802,-0.014,1.0,,-1.867744140625
3,Miss - FTI,-0.539,-2.261,1.183,0.652,3137.148,-0.826,1.0,,-1.867744140625
4,Miss - RP,-0.114,-0.991,0.762,0.331,766.986,-0.345,1.0,,-1.867744140625
5,FTI - RP,0.424,-1.177,2.026,0.607,3252.655,0.7,1.0,,-1.867744140625
0,Hit - Miss,0.343,-0.983,1.669,0.502,2070.017,0.682,1.0,,-1.857744140625
1,Hit - FTI,0.086,-1.811,1.983,0.718,2620.077,0.12,1.0,,-1.857744140625
2,Hit - RP,0.252,-0.913,1.417,0.441,1186.818,0.572,1.0,,-1.857744140625
3,Miss - FTI,-0.256,-1.99,1.477,0.657,3105.857,-0.391,1.0,,-1.857744140625
4,Miss - RP,-0.09,-0.966,0.785,0.331,676.534,-0.273,1.0,,-1.857744140625
5,FTI - RP,0.166,-1.447,1.779,0.611,3234.94,0.272,1.0,,-1.857744140625
0,Hit - Miss,0.232,-1.112,1.577,0.509,2415.669,0.456,1.0,,-1.847744140625
1,Hit - FTI,0.444,-1.475,2.363,0.727,2846.718,0.611,1.0,,-1.847744140625
2,Hit - RP,0.209,-0.977,1.396,0.449,1533.794,0.466,1.0,,-1.847744140625
3,Miss - FTI,0.212,-1.538,1.962,0.663,3170.839,0.32,1.0,,-1.847744140625
4,Miss - RP,-0.023,-0.919,0.873,0.339,899.533,-0.069,1.0,,-1.847744140625
5,FTI - RP,-0.235,-1.861,1.391,0.616,3267.317,-0.382,1.0,,-1.847744140625
0,Hit - Miss,-0.037,-1.377,1.302,0.507,2245.468,-0.073,1.0,,-1.837744140625
1,Hit - FTI,0.728,-1.186,2.642,0.725,2738.821,1.005,1.0,,-1.837744140625
2,Hit - RP,-0.026,-1.205,1.154,0.446,1352.06,-0.057,1.0,,-1.837744140625
3,Miss - FTI,0.765,-0.982,2.512,0.662,3139.876,1.157,1.0,,-1.837744140625
4,Miss - RP,0.012,-0.877,0.9,0.336,778.583,0.035,1.0,,-1.837744140625
5,FTI - RP,-0.754,-2.378,0.871,0.615,3253.096,-1.225,1.0,,-1.837744140625
0,Hit - Miss,-0.055,-1.38,1.269,0.502,3298.0,-0.11,1.0,,-1.827744140625
1,Hit - FTI,0.969,-0.926,2.864,0.718,3298.0,1.35,1.0,,-1.827744140625
2,Hit - RP,0.029,-1.133,1.192,0.44,3298.0,0.066,1.0,,-1.827744140625
3,Miss - FTI,1.024,-0.708,2.756,0.656,3298.0,1.561,0.712,,-1.827744140625
4,Miss - RP,0.084,-0.788,0.956,0.33,3298.0,0.255,1.0,,-1.827744140625
5,FTI - RP,-0.94,-2.552,0.672,0.61,3298.0,-1.54,0.742,,-1.827744140625
0,Hit - Miss,0.199,-1.146,1.543,0.509,3298.0,0.39,1.0,,-1.817744140625
1,Hit - FTI,0.567,-1.357,2.491,0.729,3298.0,0.778,1.0,,-1.817744140625
2,Hit - RP,0.267,-0.913,1.447,0.447,3298.0,0.597,1.0,,-1.817744140625
3,Miss - FTI,0.368,-1.39,2.127,0.666,3298.0,0.553,1.0,,-1.817744140625
4,Miss - RP,0.068,-0.817,0.953,0.335,3298.0,0.203,1.0,,-1.817744140625
5,FTI - RP,-0.3,-1.936,1.336,0.62,3298.0,-0.484,1.0,,-1.817744140625
0,Hit - Miss,0.226,-1.147,1.598,0.52,3298.0,0.434,1.0,,-1.807744140625
1,Hit - FTI,0.103,-1.861,2.066,0.744,3298.0,0.138,1.0,,-1.807744140625
2,Hit - RP,0.266,-0.939,1.47,0.456,3298.0,0.582,1.0,,-1.807744140625
3,Miss - FTI,-0.123,-1.918,1.672,0.68,3298.0,-0.181,1.0,,-1.807744140625
4,Miss - RP,0.04,-0.864,0.943,0.342,3298.0,0.116,1.0,,-1.807744140625
5,FTI - RP,0.163,-1.507,1.833,0.633,3298.0,0.258,1.0,,-1.807744140625
0,Hit - Miss,-0.276,-1.644,1.093,0.518,3298.0,-0.532,1.0,,-1.7977441406249997
1,Hit - FTI,-0.084,-2.042,1.874,0.742,3298.0,-0.114,1.0,,-1.7977441406249997
2,Hit - RP,-0.093,-1.294,1.108,0.455,3298.0,-0.205,1.0,,-1.7977441406249997
3,Miss - FTI,0.192,-1.598,1.981,0.678,3298.0,0.283,1.0,,-1.7977441406249997
4,Miss - RP,0.182,-0.718,1.083,0.341,3298.0,0.535,1.0,,-1.7977441406249997
5,FTI - RP,-0.009,-1.674,1.656,0.631,3298.0,-0.014,1.0,,-1.7977441406249997
0,Hit - Miss,-0.634,-2.012,0.744,0.522,2476.938,-1.215,1.0,,-1.7877441406249996
1,Hit - FTI,-0.422,-2.388,1.543,0.744,2884.091,-0.567,1.0,,-1.7877441406249996
2,Hit - RP,-0.397,-1.615,0.82,0.461,1603.656,-0.863,1.0,,-1.7877441406249996
3,Miss - FTI,0.211,-1.58,2.003,0.679,3181.441,0.312,1.0,,-1.7877441406249996
4,Miss - RP,0.236,-0.684,1.157,0.348,947.019,0.679,1.0,,-1.7877441406249996
5,FTI - RP,0.025,-1.64,1.69,0.631,3272.072,0.04,1.0,,-1.7877441406249996
0,Hit - Miss,-0.424,-1.803,0.956,0.523,2550.109,-0.811,1.0,,-1.7777441406249996
1,Hit - FTI,-0.474,-2.442,1.493,0.745,2927.247,-0.636,1.0,,-1.7777441406249996
2,Hit - RP,-0.328,-1.548,0.892,0.462,1696.1,-0.71,1.0,,-1.7777441406249996
3,Miss - FTI,-0.051,-1.844,1.742,0.679,3194.076,-0.075,1.0,,-1.7777441406249996
4,Miss - RP,0.096,-0.828,1.019,0.349,1016.734,0.274,1.0,,-1.7777441406249996
5,FTI - RP,0.146,-1.519,1.812,0.631,3276.516,0.232,1.0,,-1.7777441406249996
0,Hit - Miss,-0.194,-1.585,1.197,0.527,2533.352,-0.369,1.0,,-1.7677441406249996
1,Hit - FTI,-0.079,-2.063,1.905,0.752,2917.474,-0.105,1.0,,-1.7677441406249996
2,Hit - RP,0.005,-1.225,1.234,0.466,1674.363,0.01,1.0,,-1.7677441406249996
3,Miss - FTI,0.116,-1.693,1.924,0.685,3191.216,0.169,1.0,,-1.7677441406249996
4,Miss - RP,0.199,-0.732,1.129,0.352,1000.017,0.565,1.0,,-1.7677441406249996
5,FTI - RP,0.083,-1.596,1.763,0.636,3275.543,0.131,1.0,,-1.7677441406249996
0,Hit - Miss,-0.305,-1.7,1.089,0.528,2295.167,-0.578,1.0,,-1.7577441406249996
1,Hit - FTI,0.106,-1.886,2.097,0.754,2771.089,0.14,1.0,,-1.7577441406249996
2,Hit - RP,0.056,-1.173,1.285,0.465,1402.003,0.121,1.0,,-1.7577441406249996
3,Miss - FTI,0.411,-1.406,2.228,0.688,3148.99,0.597,1.0,,-1.7577441406249996
4,Miss - RP,0.362,-0.565,1.288,0.35,810.102,1.032,1.0,,-1.7577441406249996
5,FTI - RP,-0.05,-1.739,1.64,0.64,3257.75,-0.078,1.0,,-1.7577441406249996
0,Hit - Miss,-0.206,-1.595,1.183,0.526,2275.848,-0.391,1.0,,-1.7477441406249996
1,Hit - FTI,0.18,-1.804,2.164,0.751,2758.682,0.239,1.0,,-1.7477441406249996
2,Hit - RP,-0.163,-1.387,1.061,0.463,1381.351,-0.351,1.0,,-1.7477441406249996
3,Miss - FTI,0.385,-1.425,2.196,0.686,3145.281,0.562,1.0,,-1.7477441406249996
4,Miss - RP,0.043,-0.88,0.966,0.349,795.901,0.123,1.0,,-1.7477441406249996
5,FTI - RP,-0.342,-2.026,1.341,0.638,3256.246,-0.537,1.0,,-1.7477441406249996
0,Hit - Miss,0.309,-1.087,1.706,0.529,2183.623,0.585,1.0,,-1.7377441406249996
1,Hit - FTI,0.568,-1.428,2.565,0.756,2697.877,0.752,1.0,,-1.7377441406249996
2,Hit - RP,-0.025,-1.254,1.203,0.465,1291.392,-0.055,1.0,,-1.7377441406249996
3,Miss - FTI,0.259,-1.564,2.082,0.691,3128.119,0.375,1.0,,-1.7377441406249996
4,Miss - RP,-0.335,-1.26,0.59,0.35,740.183,-0.957,1.0,,-1.7377441406249996
5,FTI - RP,-0.594,-2.289,1.101,0.642,3247.171,-0.925,1.0,,-1.7377441406249996
0,Hit - Miss,0.343,-1.069,1.756,0.535,2124.941,0.642,1.0,,-1.7277441406249996
1,Hit - FTI,0.71,-1.309,2.728,0.765,2658.149,0.928,1.0,,-1.7277441406249996
2,Hit - RP,0.114,-1.128,1.355,0.47,1235.25,0.242,1.0,,-1.7277441406249996
3,Miss - FTI,0.366,-1.478,2.21,0.699,3116.415,0.524,1.0,,-1.7277441406249996
4,Miss - RP,-0.23,-1.164,0.704,0.353,704.46,-0.651,1.0,,-1.7277441406249996
5,FTI - RP,-0.596,-2.311,1.119,0.65,3241.433,-0.917,1.0,,-1.7277441406249996
0,Hit - Miss,-0.047,-1.475,1.38,0.541,3298.0,-0.088,1.0,,-1.7177441406249996
1,Hit - FTI,0.318,-1.725,2.361,0.774,3298.0,0.411,1.0,,-1.7177441406249996
2,Hit - RP,-0.017,-1.27,1.236,0.475,3298.0,-0.035,1.0,,-1.7177441406249996
3,Miss - FTI,0.365,-1.502,2.233,0.707,3298.0,0.517,1.0,,-1.7177441406249996
4,Miss - RP,0.031,-0.909,0.971,0.356,3298.0,0.087,1.0,,-1.7177441406249996
5,FTI - RP,-0.334,-2.072,1.403,0.658,3298.0,-0.508,1.0,,-1.7177441406249996
0,Hit - Miss,-0.107,-1.557,1.343,0.549,3298.0,-0.195,1.0,,-1.7077441406249996
1,Hit - FTI,0.305,-1.77,2.38,0.786,3298.0,0.388,1.0,,-1.7077441406249996
2,Hit - RP,0.048,-1.224,1.321,0.482,3298.0,0.1,1.0,,-1.7077441406249996
3,Miss - FTI,0.412,-1.484,2.309,0.718,3298.0,0.574,1.0,,-1.7077441406249996
4,Miss - RP,0.155,-0.799,1.11,0.362,3298.0,0.43,1.0,,-1.7077441406249996
5,FTI - RP,-0.257,-2.022,1.508,0.668,3298.0,-0.384,1.0,,-1.7077441406249996
0,Hit - Miss,0.038,-1.426,1.502,0.555,3298.0,0.069,1.0,,-1.6977441406249996
1,Hit - FTI,0.764,-1.331,2.859,0.794,3298.0,0.963,1.0,,-1.6977441406249996
2,Hit - RP,0.108,-1.177,1.393,0.487,3298.0,0.221,1.0,,-1.6977441406249996
3,Miss - FTI,0.726,-1.189,2.641,0.725,3298.0,1.001,1.0,,-1.6977441406249996
4,Miss - RP,0.07,-0.894,1.034,0.365,3298.0,0.191,1.0,,-1.6977441406249996
5,FTI - RP,-0.657,-2.438,1.125,0.675,3298.0,-0.973,1.0,,-1.6977441406249996
0,Hit - Miss,-0.114,-1.591,1.364,0.56,2252.212,-0.203,1.0,,-1.6877441406249996
1,Hit - FTI,0.613,-1.498,2.723,0.799,2743.339,0.766,1.0,,-1.6877441406249996
2,Hit - RP,-0.035,-1.337,1.266,0.493,1356.995,-0.072,1.0,,-1.6877441406249996
3,Miss - FTI,0.726,-1.2,2.653,0.73,3140.785,0.995,1.0,,-1.6877441406249996
4,Miss - RP,0.078,-0.903,1.059,0.371,779.822,0.211,1.0,,-1.6877441406249996
5,FTI - RP,-0.648,-2.439,1.143,0.678,3254.219,-0.955,1.0,,-1.6877441406249996
0,Hit - Miss,-0.343,-1.823,1.137,0.56,2190.801,-0.612,1.0,,-1.6777441406249995
1,Hit - FTI,0.377,-1.738,2.492,0.801,2702.655,0.471,1.0,,-1.6777441406249995
2,Hit - RP,-0.129,-1.432,1.173,0.493,1298.83,-0.262,1.0,,-1.6777441406249995
3,Miss - FTI,0.72,-1.211,2.652,0.732,3129.627,0.984,1.0,,-1.6777441406249995
4,Miss - RP,0.214,-0.766,1.194,0.371,745.408,0.577,1.0,,-1.6777441406249995
5,FTI - RP,-0.506,-2.303,1.29,0.68,3247.723,-0.744,1.0,,-1.6777441406249995
0,Hit - Miss,-0.389,-1.85,1.072,0.553,2159.271,-0.703,1.0,,-1.6677441406249995
1,Hit - FTI,0.877,-1.212,2.965,0.791,2681.499,1.108,1.0,,-1.6677441406249995
2,Hit - RP,-0.086,-1.371,1.2,0.486,1267.922,-0.176,1.0,,-1.6677441406249995
3,Miss - FTI,1.266,-0.642,3.173,0.723,3123.332,1.752,0.48,,-1.6677441406249995
4,Miss - RP,0.303,-0.664,1.27,0.366,725.266,0.83,1.0,,-1.6677441406249995
5,FTI - RP,-0.962,-2.736,0.812,0.672,3244.805,-1.432,0.914,,-1.6677441406249995
0,Hit - Miss,-0.142,-1.599,1.314,0.552,2226.307,-0.258,1.0,,-1.6577441406249995
1,Hit - FTI,0.958,-1.123,3.039,0.788,2726.336,1.216,1.0,,-1.6577441406249995
2,Hit - RP,0.026,-1.257,1.308,0.485,1331.211,0.053,1.0,,-1.6577441406249995
3,Miss - FTI,1.1,-0.799,3.0,0.72,3135.89,1.529,0.758,,-1.6577441406249995
4,Miss - RP,0.168,-0.798,1.135,0.365,763.42,0.461,1.0,,-1.6577441406249995
5,FTI - RP,-0.932,-2.699,0.834,0.669,3251.808,-1.393,0.982,,-1.6577441406249995
0,Hit - Miss,0.338,-1.114,1.789,0.55,3298.0,0.614,1.0,,-1.6477441406249995
1,Hit - FTI,0.52,-1.557,2.596,0.787,3298.0,0.661,1.0,,-1.6477441406249995
2,Hit - RP,0.269,-1.005,1.542,0.482,3298.0,0.557,1.0,,-1.6477441406249995
3,Miss - FTI,0.182,-1.716,2.08,0.719,3298.0,0.253,1.0,,-1.6477441406249995
4,Miss - RP,-0.069,-1.024,0.886,0.362,3298.0,-0.191,1.0,,-1.6477441406249995
5,FTI - RP,-0.251,-2.017,1.515,0.669,3298.0,-0.375,1.0,,-1.6477441406249995
0,Hit - Miss,0.378,-1.077,1.833,0.551,3298.0,0.686,1.0,,-1.6377441406249995
1,Hit - FTI,0.627,-1.455,2.71,0.789,3298.0,0.795,1.0,,-1.6377441406249995
2,Hit - RP,0.481,-0.797,1.758,0.484,3298.0,0.994,1.0,,-1.6377441406249995
3,Miss - FTI,0.249,-1.654,2.153,0.721,3298.0,0.346,1.0,,-1.6377441406249995
4,Miss - RP,0.103,-0.855,1.061,0.363,3298.0,0.283,1.0,,-1.6377441406249995
5,FTI - RP,-0.147,-1.917,1.624,0.671,3298.0,-0.219,1.0,,-1.6377441406249995
0,Hit - Miss,-0.256,-1.728,1.215,0.557,2292.234,-0.46,1.0,,-1.6277441406249995
1,Hit - FTI,0.888,-1.213,2.989,0.796,2769.527,1.116,1.0,,-1.6277441406249995
2,Hit - RP,0.294,-1.003,1.591,0.491,1394.556,0.599,1.0,,-1.6277441406249995
3,Miss - FTI,1.144,-0.772,3.061,0.726,3147.746,1.576,0.691,,-1.6277441406249995
4,Miss - RP,0.55,-0.428,1.529,0.37,800.73,1.487,0.824,,-1.6277441406249995
5,FTI - RP,-0.594,-2.376,1.188,0.675,3258.635,-0.88,1.0,,-1.6277441406249995
0,Hit - Miss,-0.328,-1.817,1.161,0.564,2183.64,-0.581,1.0,,-1.6177441406249995
1,Hit - FTI,1.141,-0.987,3.269,0.806,2698.141,1.416,0.942,,-1.6177441406249995
2,Hit - RP,0.213,-1.098,1.524,0.496,1286.359,0.43,1.0,,-1.6177441406249995
3,Miss - FTI,1.469,-0.474,3.411,0.736,3126.925,1.996,0.276,,-1.6177441406249995
4,Miss - RP,0.541,-0.447,1.529,0.373,731.735,1.449,0.887,,-1.6177441406249995
5,FTI - RP,-0.928,-2.734,0.878,0.684,3248.698,-1.356,1.0,,-1.6177441406249995
0,Hit - Miss,0.389,-1.1,1.879,0.564,3298.0,0.69,1.0,,-1.6077441406249997
1,Hit - FTI,1.579,-0.553,3.71,0.807,3298.0,1.955,0.304,,-1.6077441406249997
2,Hit - RP,0.475,-0.832,1.783,0.495,3298.0,0.96,1.0,,-1.6077441406249997
3,Miss - FTI,1.189,-0.759,3.137,0.738,3298.0,1.611,0.643,,-1.6077441406249997
4,Miss - RP,0.086,-0.895,1.067,0.372,3298.0,0.231,1.0,,-1.6077441406249997
5,FTI - RP,-1.103,-2.916,0.709,0.687,3298.0,-1.607,0.649,,-1.6077441406249997
0,Hit - Miss,0.356,-1.136,1.848,0.565,3298.0,0.629,1.0,,-1.5977441406249997
1,Hit - FTI,1.361,-0.773,3.496,0.809,3298.0,1.684,0.554,,-1.5977441406249997
2,Hit - RP,0.349,-0.96,1.658,0.496,3298.0,0.703,1.0,,-1.5977441406249997
3,Miss - FTI,1.006,-0.945,2.957,0.739,3298.0,1.361,1.0,,-1.5977441406249997
4,Miss - RP,-0.007,-0.989,0.975,0.372,3298.0,-0.018,1.0,,-1.5977441406249997
5,FTI - RP,-1.013,-2.828,0.803,0.688,3298.0,-1.473,0.846,,-1.5977441406249997
0,Hit - Miss,-0.306,-1.828,1.217,0.577,2134.42,-0.53,1.0,,-1.5877441406249997
1,Hit - FTI,0.765,-1.411,2.941,0.824,2664.833,0.928,1.0,,-1.5877441406249997
2,Hit - RP,-0.017,-1.357,1.322,0.507,1239.131,-0.034,1.0,,-1.5877441406249997
3,Miss - FTI,1.071,-0.916,3.058,0.753,3116.955,1.423,0.93,,-1.5877441406249997
4,Miss - RP,0.288,-0.72,1.297,0.381,701.676,0.756,1.0,,-1.5877441406249997
5,FTI - RP,-0.782,-2.63,1.065,0.7,3244.018,-1.118,1.0,,-1.5877441406249997
0,Hit - Miss,-0.15,-1.678,1.377,0.578,2097.268,-0.26,1.0,,-1.5777441406249997
1,Hit - FTI,0.91,-1.272,3.093,0.827,2639.292,1.101,1.0,,-1.5777441406249997
2,Hit - RP,0.153,-1.19,1.496,0.508,1203.575,0.301,1.0,,-1.5777441406249997
3,Miss - FTI,1.061,-0.933,3.054,0.755,3108.982,1.405,0.961,,-1.5777441406249997
4,Miss - RP,0.303,-0.708,1.315,0.382,678.431,0.794,1.0,,-1.5777441406249997
5,FTI - RP,-0.757,-2.611,1.096,0.702,3240.628,-1.079,1.0,,-1.5777441406249997
0,Hit - Miss,0.226,-1.306,1.758,0.58,2135.952,0.39,1.0,,-1.5677441406249997
1,Hit - FTI,1.361,-0.827,3.55,0.829,2666.063,1.642,0.604,,-1.5677441406249997
2,Hit - RP,0.595,-0.753,1.944,0.51,1237.126,1.166,1.0,,-1.5677441406249997
3,Miss - FTI,1.135,-0.863,3.133,0.757,3116.392,1.5,0.802,,-1.5677441406249997
4,Miss - RP,0.369,-0.647,1.385,0.384,696.932,0.961,1.0,,-1.5677441406249997
5,FTI - RP,-0.766,-2.624,1.092,0.704,3245.294,-1.089,1.0,,-1.5677441406249997
0,Hit - Miss,0.332,-1.218,1.882,0.587,2302.124,0.565,1.0,,-1.5577441406249997
1,Hit - FTI,1.555,-0.658,3.768,0.838,2775.991,1.855,0.382,,-1.5577441406249997
2,Hit - RP,0.798,-0.569,2.165,0.517,1403.523,1.543,0.739,,-1.5577441406249997
3,Miss - FTI,1.223,-0.796,3.242,0.765,3149.409,1.599,0.659,,-1.5577441406249997
4,Miss - RP,0.466,-0.565,1.498,0.39,805.266,1.195,1.0,,-1.5577441406249997
5,FTI - RP,-0.757,-2.633,1.12,0.711,3259.814,-1.064,1.0,,-1.5577441406249997
0,Hit - Miss,0.348,-1.206,1.902,0.589,2324.356,0.592,1.0,,-1.5477441406249997
1,Hit - FTI,1.485,-0.734,3.704,0.841,2789.758,1.767,0.464,,-1.5477441406249997
2,Hit - RP,0.767,-0.603,2.137,0.519,1432.378,1.48,0.835,,-1.5477441406249997
3,Miss - FTI,1.137,-0.888,3.161,0.767,3154.311,1.482,0.83,,-1.5477441406249997
4,Miss - RP,0.419,-0.615,1.453,0.391,829.805,1.072,1.0,,-1.5477441406249997
5,FTI - RP,-0.718,-2.6,1.164,0.713,3260.308,-1.007,1.0,,-1.5477441406249997
0,Hit - Miss,0.284,-1.261,1.829,0.585,3298.0,0.485,1.0,,-1.5377441406249996
1,Hit - FTI,1.331,-0.88,3.543,0.838,3298.0,1.589,0.672,,-1.5377441406249996
2,Hit - RP,0.74,-0.616,2.096,0.514,3298.0,1.441,0.898,,-1.5377441406249996
3,Miss - FTI,1.047,-0.974,3.069,0.766,3298.0,1.368,1.0,,-1.5377441406249996
4,Miss - RP,0.456,-0.561,1.474,0.385,3298.0,1.184,1.0,,-1.5377441406249996
5,FTI - RP,-0.591,-2.472,1.289,0.712,3298.0,-0.83,1.0,,-1.5377441406249996
0,Hit - Miss,0.607,-0.946,2.16,0.588,2063.583,1.032,1.0,,-1.5277441406249996
1,Hit - FTI,1.312,-0.91,3.533,0.841,2615.622,1.559,0.715,,-1.5277441406249996
2,Hit - RP,0.924,-0.441,2.289,0.517,1177.658,1.789,0.443,,-1.5277441406249996
3,Miss - FTI,0.705,-1.325,2.734,0.769,3103.375,0.917,1.0,,-1.5277441406249996
4,Miss - RP,0.317,-0.709,1.343,0.388,667.289,0.818,1.0,,-1.5277441406249996
5,FTI - RP,-0.387,-2.275,1.5,0.715,3235.432,-0.542,1.0,,-1.5277441406249996
0,Hit - Miss,0.845,-0.702,2.393,0.586,2103.481,1.442,0.896,,-1.5177441406249996
1,Hit - FTI,1.281,-0.931,3.493,0.838,2643.554,1.529,0.758,,-1.5177441406249996
2,Hit - RP,0.959,-0.402,2.32,0.515,1210.33,1.862,0.377,,-1.5177441406249996
3,Miss - FTI,0.436,-1.584,2.456,0.765,3110.577,0.569,1.0,,-1.5177441406249996
4,Miss - RP,0.114,-0.911,1.138,0.387,683.69,0.294,1.0,,-1.5177441406249996
5,FTI - RP,-0.322,-2.201,1.557,0.712,3240.908,-0.452,1.0,,-1.5177441406249996
0,Hit - Miss,0.558,-0.983,2.098,0.584,3298.0,0.955,1.0,,-1.5077441406249996
1,Hit - FTI,1.005,-1.2,3.209,0.835,3298.0,1.203,1.0,,-1.5077441406249996
2,Hit - RP,0.628,-0.724,1.98,0.512,3298.0,1.227,1.0,,-1.5077441406249996
3,Miss - FTI,0.447,-1.568,2.462,0.763,3298.0,0.585,1.0,,-1.5077441406249996
4,Miss - RP,0.071,-0.944,1.085,0.384,3298.0,0.184,1.0,,-1.5077441406249996
5,FTI - RP,-0.376,-2.251,1.498,0.71,3298.0,-0.53,1.0,,-1.5077441406249996
0,Hit - Miss,0.541,-1.007,2.088,0.586,3298.0,0.923,1.0,,-1.4977441406249996
1,Hit - FTI,0.845,-1.369,3.058,0.839,3298.0,1.007,1.0,,-1.4977441406249996
2,Hit - RP,0.543,-0.815,1.9,0.514,3298.0,1.055,1.0,,-1.4977441406249996
3,Miss - FTI,0.304,-1.72,2.327,0.767,3298.0,0.396,1.0,,-1.4977441406249996
4,Miss - RP,0.002,-1.017,1.021,0.386,3298.0,0.005,1.0,,-1.4977441406249996
5,FTI - RP,-0.302,-2.185,1.581,0.713,3298.0,-0.423,1.0,,-1.4977441406249996
0,Hit - Miss,0.794,-0.761,2.349,0.589,3298.0,1.348,1.0,,-1.4877441406249998
1,Hit - FTI,1.099,-1.126,3.323,0.843,3298.0,1.304,1.0,,-1.4877441406249998
2,Hit - RP,0.919,-0.446,2.283,0.517,3298.0,1.778,0.453,,-1.4877441406249998
3,Miss - FTI,0.305,-1.729,2.338,0.77,3298.0,0.396,1.0,,-1.4877441406249998
4,Miss - RP,0.125,-0.899,1.149,0.388,3298.0,0.323,1.0,,-1.4877441406249998
5,FTI - RP,-0.18,-2.072,1.712,0.717,3298.0,-0.251,1.0,,-1.4877441406249998
0,Hit - Miss,0.813,-0.749,2.376,0.592,3298.0,1.375,1.0,,-1.4777441406249996
1,Hit - FTI,1.419,-0.817,3.654,0.847,3298.0,1.675,0.564,,-1.4777441406249996
2,Hit - RP,1.251,-0.12,2.622,0.519,3298.0,2.409,0.096,.,-1.4777441406249996
3,Miss - FTI,0.605,-1.438,2.648,0.774,3298.0,0.782,1.0,,-1.4777441406249996
4,Miss - RP,0.438,-0.591,1.466,0.39,3298.0,1.124,1.0,,-1.4777441406249996
5,FTI - RP,-0.167,-2.068,1.733,0.72,3298.0,-0.233,1.0,,-1.4777441406249996
0,Hit - Miss,0.722,-0.84,2.283,0.592,3298.0,1.22,1.0,,-1.4677441406249998
1,Hit - FTI,1.434,-0.801,3.668,0.847,3298.0,1.694,0.543,,-1.4677441406249998
2,Hit - RP,1.285,-0.086,2.656,0.519,3298.0,2.475,0.08,.,-1.4677441406249998
3,Miss - FTI,0.712,-1.331,2.755,0.774,3298.0,0.92,1.0,,-1.4677441406249998
4,Miss - RP,0.563,-0.465,1.592,0.39,3298.0,1.446,0.889,,-1.4677441406249998
5,FTI - RP,-0.149,-2.049,1.752,0.72,3298.0,-0.207,1.0,,-1.4677441406249998
0,Hit - Miss,0.525,-1.044,2.095,0.594,2163.513,0.884,1.0,,-1.4577441406249996
1,Hit - FTI,1.506,-0.736,3.749,0.849,2684.626,1.773,0.458,,-1.4577441406249996
2,Hit - RP,1.076,-0.306,2.457,0.523,1266.37,2.057,0.239,,-1.4577441406249996
3,Miss - FTI,0.981,-1.067,3.028,0.776,3122.763,1.265,1.0,,-1.4577441406249996
4,Miss - RP,0.55,-0.49,1.591,0.393,718.455,1.399,0.973,,-1.4577441406249996
5,FTI - RP,-0.431,-2.335,1.473,0.721,3246.968,-0.597,1.0,,-1.4577441406249996
0,Hit - Miss,0.354,-1.224,1.932,0.598,2308.721,0.592,1.0,,-1.4477441406249998
1,Hit - FTI,1.939,-0.315,4.193,0.854,2780.024,2.272,0.139,,-1.4477441406249998
2,Hit - RP,0.913,-0.479,2.305,0.527,1412.817,1.733,0.499,,-1.4477441406249998
3,Miss - FTI,1.585,-0.471,3.641,0.779,3150.984,2.035,0.252,,-1.4477441406249998
4,Miss - RP,0.559,-0.491,1.609,0.397,813.771,1.408,0.958,,-1.4477441406249998
5,FTI - RP,-1.026,-2.937,0.885,0.724,3259.76,-1.417,0.939,,-1.4477441406249998
0,Hit - Miss,0.379,-1.207,1.966,0.601,2207.088,0.631,1.0,,-1.4377441406249996
1,Hit - FTI,2.071,-0.196,4.337,0.858,2713.766,2.412,0.096,.,-1.4377441406249996
2,Hit - RP,0.984,-0.413,2.381,0.529,1309.686,1.862,0.377,,-1.4377441406249996
3,Miss - FTI,1.692,-0.377,3.761,0.784,3131.639,2.158,0.186,,-1.4377441406249996
4,Miss - RP,0.605,-0.448,1.658,0.398,747.04,1.521,0.773,,-1.4377441406249996
5,FTI - RP,-1.087,-3.01,0.837,0.729,3250.76,-1.491,0.816,,-1.4377441406249996
