index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
4,Miss - RP,0.002,-0.65,0.653,0.247,3298.0,0.006,1.0,,-2.107744140625
5,FTI - RP,-0.11,-1.313,1.093,0.456,3298.0,-0.241,1.0,,-2.107744140625
0,Hit - Miss,-0.329,-1.336,0.678,0.381,3298.0,-0.862,1.0,,-2.097744140625
1,Hit - FTI,-0.515,-1.956,0.925,0.546,3298.0,-0.944,1.0,,-2.097744140625
2,Hit - RP,-0.327,-1.211,0.557,0.335,3298.0,-0.976,1.0,,-2.097744140625
3,Miss - FTI,-0.187,-1.504,1.13,0.499,3298.0,-0.374,1.0,,-2.097744140625
4,Miss - RP,0.002,-0.661,0.665,0.251,3298.0,0.008,1.0,,-2.097744140625
5,FTI - RP,0.189,-1.037,1.414,0.464,3298.0,0.407,1.0,,-2.097744140625
0,Hit - Miss,-0.057,-1.065,0.952,0.382,3298.0,-0.149,1.0,,-2.0877441406249995
1,Hit - FTI,-0.518,-1.961,0.925,0.547,3298.0,-0.948,1.0,,-2.0877441406249995
2,Hit - RP,-0.11,-0.995,0.775,0.335,3298.0,-0.328,1.0,,-2.0877441406249995
3,Miss - FTI,-0.461,-1.78,0.858,0.5,3298.0,-0.923,1.0,,-2.0877441406249995
4,Miss - RP,-0.053,-0.717,0.611,0.251,3298.0,-0.211,1.0,,-2.0877441406249995
5,FTI - RP,0.408,-0.819,1.635,0.465,3298.0,0.878,1.0,,-2.0877441406249995
0,Hit - Miss,0.309,-0.706,1.325,0.385,3298.0,0.804,1.0,,-2.077744140625
1,Hit - FTI,-0.507,-1.96,0.946,0.55,3298.0,-0.921,1.0,,-2.077744140625
2,Hit - RP,0.251,-0.64,1.142,0.338,3298.0,0.744,1.0,,-2.077744140625
3,Miss - FTI,-0.816,-2.144,0.512,0.503,3298.0,-1.623,0.628,,-2.077744140625
4,Miss - RP,-0.058,-0.727,0.61,0.253,3298.0,-0.23,1.0,,-2.077744140625
5,FTI - RP,0.758,-0.477,1.994,0.468,3298.0,1.62,0.632,,-2.077744140625
