index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
5,FTI - RP,3.079,1.037,5.121,0.774,3297.858,3.98,0.0,***,-2.5877441406249995
0,Hit - Miss,1.149,-0.549,2.847,0.643,3159.835,1.786,0.445,,-2.5777441406249997
1,Hit - FTI,-1.779,-4.19,0.633,0.914,3245.916,-1.947,0.31,,-2.5777441406249997
2,Hit - RP,1.411,-0.106,2.927,0.574,2790.163,2.456,0.085,.,-2.5777441406249997
3,Miss - FTI,-2.927,-5.117,-0.738,0.829,3287.399,-3.529,0.003,**,-2.5777441406249997
4,Miss - RP,0.262,-0.9,1.424,0.44,2171.139,0.595,1.0,,-2.5777441406249997
5,FTI - RP,3.189,1.16,5.218,0.769,3297.885,4.149,0.0,***,-2.5777441406249997
0,Hit - Miss,1.396,-0.291,3.084,0.639,3154.483,2.185,0.174,,-2.5677441406249994
1,Hit - FTI,-1.364,-3.761,1.032,0.908,3243.433,-1.503,0.798,,-2.5677441406249994
2,Hit - RP,1.438,-0.068,2.944,0.571,2776.467,2.521,0.071,.,-2.5677441406249994
3,Miss - FTI,-2.761,-4.937,-0.585,0.824,3286.675,-3.349,0.005,**,-2.5677441406249994
4,Miss - RP,0.042,-1.113,1.196,0.437,2150.794,0.096,1.0,,-2.5677441406249994
5,FTI - RP,2.802,0.786,4.819,0.764,3297.932,3.669,0.001,**,-2.5677441406249994
0,Hit - Miss,1.347,-0.322,3.016,0.632,3179.887,2.131,0.199,,-2.5577441406249997
1,Hit - FTI,-1.037,-3.407,1.333,0.898,3254.74,-1.155,1.0,,-2.5577441406249997
2,Hit - RP,1.397,-0.094,2.888,0.565,2846.332,2.474,0.08,.,-2.5577441406249997
3,Miss - FTI,-2.384,-4.536,-0.233,0.815,3289.769,-2.925,0.021,*,-2.5577441406249997
4,Miss - RP,0.05,-1.093,1.193,0.433,2261.29,0.115,1.0,,-2.5577441406249997
5,FTI - RP,2.434,0.441,4.427,0.755,3297.686,3.224,0.008,**,-2.5577441406249997
0,Hit - Miss,0.904,-0.761,2.57,0.631,3214.143,1.433,0.911,,-2.5477441406249994
1,Hit - FTI,-1.535,-3.9,0.829,0.896,3269.448,-1.714,0.52,,-2.5477441406249994
2,Hit - RP,1.169,-0.32,2.658,0.564,2947.965,2.072,0.23,,-2.5477441406249994
3,Miss - FTI,-2.439,-4.585,-0.294,0.813,3293.551,-3.001,0.016,*,-2.5477441406249994
4,Miss - RP,0.264,-0.879,1.408,0.433,2436.799,0.61,1.0,,-2.5477441406249994
5,FTI - RP,2.704,0.716,4.691,0.753,3297.007,3.591,0.002,**,-2.5477441406249994
0,Hit - Miss,0.705,-0.943,2.352,0.624,3234.052,1.129,1.0,,-2.5377441406249996
1,Hit - FTI,-1.967,-4.306,0.372,0.886,3277.601,-2.22,0.159,,-2.5377441406249996
2,Hit - RP,1.088,-0.385,2.562,0.558,3012.245,1.95,0.308,,-2.5377441406249996
3,Miss - FTI,-2.672,-4.794,-0.55,0.804,3295.437,-3.324,0.005,**,-2.5377441406249996
4,Miss - RP,0.384,-0.749,1.516,0.429,2558.719,0.895,1.0,,-2.5377441406249996
5,FTI - RP,3.055,1.09,5.02,0.744,3296.389,4.105,0.0,***,-2.5377441406249996
0,Hit - Miss,0.68,-0.937,2.297,0.613,3247.161,1.11,1.0,,-2.527744140625
1,Hit - FTI,-1.661,-3.956,0.634,0.869,3282.811,-1.911,0.337,,-2.527744140625
2,Hit - RP,1.12,-0.327,2.567,0.548,3056.652,2.043,0.247,,-2.527744140625
3,Miss - FTI,-2.341,-4.424,-0.259,0.789,3296.528,-2.968,0.018,*,-2.527744140625
4,Miss - RP,0.44,-0.673,1.553,0.421,2648.005,1.044,1.0,,-2.527744140625
