channel,betas,pvals,tstat,time,frequency
P1,-0.263442686521693,0.24032390311502447,-1.1747700947784474,-0.5,6.5769230769230775
C3,-0.25649249016062753,0.1257168753688458,-1.5323064220910747,-0.5,6.5769230769230775
Cz,0.034555860464122595,0.9032423035986936,0.1215927178547323,-0.5,7.589743589743589
F1,0.08626471765502408,0.8129568639009325,0.2366662259143651,-0.5,7.589743589743589
P1,-0.06840613738307919,0.8540240459940743,-0.18402688621248248,-0.5,7.589743589743589
C3,-0.3230883075406038,0.1115127410963601,-1.592625037053965,-0.5,7.589743589743589
Cz,-0.09595667981168375,0.7731109521539742,-0.2883742210843328,-0.5,8.602564102564102
F1,-0.10969317893574729,0.8199710189809423,-0.22763320250473082,-0.5,8.602564102564102
P1,-0.21555998615548205,0.7114368875387955,-0.3700161846435861,-0.5,8.602564102564102
C3,-0.2569779472944895,0.270739637953078,-1.10187876375467,-0.5,8.602564102564102
Cz,-0.2899116284000372,0.39970944719510726,-0.8424458791645083,-0.5,9.615384615384617
F1,-0.2109034386184832,0.7006971604518227,-0.38447387640999164,-0.5,9.615384615384617
P1,-0.6224826071083455,0.40265633160554326,-0.837188201070597,-0.5,9.615384615384617
C3,-0.28408871181939577,0.24776454731949393,-1.1563714587303158,-0.5,9.615384615384617
Cz,-0.30557744519758073,0.29523960229513685,-1.0471649447600462,-0.5,10.628205128205126
F1,-0.2006100116249325,0.6730878103434492,-0.4220202205722922,-0.5,10.628205128205126
P1,-0.698671643431555,0.3346766004954498,-0.9651325795075559,-0.5,10.628205128205126
C3,-0.2905831595809136,0.18642635235502514,-1.3220011714337583,-0.5,10.628205128205126
Cz,-0.14783175346990374,0.47363409277407065,-0.7168130338259465,-0.5,11.64102564102564
F1,-0.12795334205829392,0.6841504989241827,-0.40690740739629927,-0.5,11.64102564102564
P1,-0.5287086070509484,0.3279092702424753,-0.9787416164193043,-0.5,11.64102564102564
C3,-0.23291854061258743,0.1799577573044043,-1.3416934071395819,-0.5,11.64102564102564
