index,condition,Estimate,ci_low,ci_high,SE,DF,time
2,FTI,0.348,-0.953,1.649,0.663,1724.45,-2.807744140625
3,RP,0.525,0.109,0.941,0.204,30.537,-2.807744140625
0,Hit,0.528,-0.382,1.437,0.463,459.02,-2.7977441406249994
1,Miss,0.128,-0.521,0.777,0.329,173.233,-2.7977441406249994
2,FTI,0.195,-1.096,1.487,0.659,2021.433,-2.7977441406249994
3,RP,0.596,0.215,0.977,0.187,33.464,-2.7977441406249994
0,Hit,0.496,-0.416,1.408,0.464,446.558,-2.787744140625
1,Miss,0.178,-0.475,0.83,0.33,167.168,-2.787744140625
2,FTI,-0.087,-1.381,1.207,0.66,1971.432,-2.787744140625
3,RP,0.58,0.195,0.966,0.189,32.329,-2.787744140625
0,Hit,0.781,-0.131,1.693,0.464,403.746,-2.777744140625
1,Miss,0.401,-0.26,1.061,0.334,145.698,-2.777744140625
2,FTI,-0.399,-1.679,0.88,0.652,1705.51,-2.777744140625
3,RP,0.6,0.194,1.006,0.199,28.903,-2.777744140625
0,Hit,0.774,-0.114,1.662,0.452,421.737,-2.767744140625
1,Miss,0.463,-0.174,1.1,0.322,155.851,-2.767744140625
2,FTI,-0.577,-1.834,0.679,0.641,1880.741,-2.767744140625
3,RP,0.584,0.204,0.964,0.186,30.201,-2.767744140625
0,Hit,0.521,-0.351,1.393,0.444,444.268,-2.7577441406249994
1,Miss,0.313,-0.307,0.933,0.314,169.37,-2.7577441406249994
2,FTI,-0.572,-1.815,0.67,0.634,2047.532,-2.7577441406249994
3,RP,0.483,0.123,0.844,0.177,32.536,-2.7577441406249994
0,Hit,0.354,-0.518,1.225,0.443,432.392,-2.747744140625
1,Miss,0.301,-0.323,0.925,0.316,160.327,-2.747744140625
2,FTI,-0.529,-1.762,0.704,0.629,1909.352,-2.747744140625
3,RP,0.44,0.068,0.812,0.182,31.08,-2.747744140625
0,Hit,0.246,-0.612,1.105,0.437,423.729,-2.737744140625
1,Miss,0.381,-0.234,0.996,0.311,157.095,-2.737744140625
2,FTI,-0.775,-1.991,0.441,0.62,1899.893,-2.737744140625
3,RP,0.497,0.131,0.863,0.179,30.39,-2.737744140625
0,Hit,0.088,-0.766,0.942,0.435,431.018,-2.727744140625
1,Miss,0.306,-0.303,0.916,0.309,161.773,-2.727744140625
2,FTI,-0.982,-2.196,0.231,0.619,1966.862,-2.727744140625
3,RP,0.538,0.179,0.896,0.176,31.149,-2.727744140625
0,Hit,0.002,-0.862,0.866,0.44,413.387,-2.717744140625
1,Miss,0.196,-0.432,0.824,0.318,148.801,-2.717744140625
2,FTI,-0.488,-1.697,0.72,0.616,1677.02,-2.717744140625
3,RP,0.443,0.052,0.833,0.191,29.954,-2.717744140625
0,Hit,0.057,-0.829,0.943,0.45,338.986,-2.707744140625
1,Miss,0.159,-0.5,0.819,0.333,120.581,-2.707744140625
2,FTI,-0.129,-1.345,1.086,0.62,1255.925,-2.707744140625
3,RP,0.364,-0.074,0.803,0.214,26.9,-2.707744140625
0,Hit,0.253,-0.599,1.106,0.434,368.636,-2.697744140625
1,Miss,0.181,-0.445,0.806,0.316,130.847,-2.697744140625
2,FTI,-0.403,-1.587,0.78,0.603,1468.445,-2.697744140625
3,RP,0.432,0.032,0.832,0.195,27.189,-2.697744140625
0,Hit,0.607,-0.19,1.404,0.407,3298.0,-2.687744140625
1,Miss,0.22,-0.341,0.782,0.286,3298.0,-2.687744140625
2,FTI,-0.254,-1.399,0.891,0.584,3298.0,-2.687744140625
3,RP,0.435,0.124,0.746,0.159,3298.0,-2.687744140625
0,Hit,0.896,0.084,1.709,0.413,425.674,-2.677744140625
1,Miss,0.281,-0.301,0.864,0.295,157.576,-2.677744140625
2,FTI,0.094,-1.056,1.244,0.586,1893.919,-2.677744140625
3,RP,0.323,-0.025,0.67,0.17,30.529,-2.677744140625
0,Hit,0.89,0.045,1.735,0.43,349.178,-2.6677441406249995
1,Miss,0.322,-0.305,0.948,0.317,123.973,-2.6677441406249995
2,FTI,-0.19,-1.354,0.974,0.593,1317.016,-2.6677441406249995
3,RP,0.309,-0.103,0.722,0.201,27.074,-2.6677441406249995
0,Hit,0.912,0.093,1.732,0.417,377.348,-2.657744140625
1,Miss,0.313,-0.286,0.913,0.303,134.272,-2.657744140625
2,FTI,-0.718,-1.859,0.422,0.581,1524.812,-2.657744140625
3,RP,0.321,-0.059,0.701,0.185,27.541,-2.657744140625
0,Hit,1.095,0.3,1.89,0.404,402.663,-2.6477441406249995
1,Miss,0.359,-0.211,0.928,0.288,148.445,-2.6477441406249995
2,FTI,-0.85,-1.976,0.275,0.574,1847.299,-2.6477441406249995
3,RP,0.238,-0.102,0.578,0.166,28.674,-2.6477441406249995
0,Hit,0.874,0.073,1.675,0.407,393.456,-2.637744140625
1,Miss,0.438,-0.141,1.018,0.293,141.857,-2.637744140625
2,FTI,-0.555,-1.679,0.569,0.573,1693.562,-2.637744140625
3,RP,0.207,-0.149,0.563,0.174,28.029,-2.637744140625
0,Hit,0.318,-0.466,1.102,0.399,396.618,-2.6277441406249995
1,Miss,0.371,-0.193,0.935,0.286,144.729,-2.6277441406249995
2,FTI,-0.516,-1.623,0.591,0.564,1782.664,-2.6277441406249995
3,RP,0.257,-0.084,0.598,0.166,28.146,-2.6277441406249995
0,Hit,0.138,-0.637,0.913,0.394,416.858,-2.617744140625
1,Miss,0.221,-0.335,0.777,0.282,153.53,-2.617744140625
2,FTI,-0.709,-1.804,0.387,0.559,1857.345,-2.617744140625
3,RP,0.203,-0.13,0.536,0.163,29.788,-2.617744140625
0,Hit,0.197,-0.571,0.965,0.391,446.301,-2.6077441406249995
1,Miss,0.179,-0.368,0.726,0.277,168.984,-2.6077441406249995
2,FTI,-0.553,-1.646,0.539,0.557,2022.097,-2.6077441406249995
3,RP,0.105,-0.215,0.425,0.157,32.529,-2.6077441406249995
0,Hit,0.439,-0.316,1.194,0.385,3298.0,-2.597744140625
1,Miss,0.248,-0.284,0.78,0.271,3298.0,-2.597744140625
2,FTI,-0.259,-1.344,0.826,0.553,3298.0,-2.597744140625
3,RP,0.159,-0.136,0.453,0.15,3298.0,-2.597744140625
0,Hit,0.726,-0.037,1.489,0.388,414.895,-2.5877441406249995
1,Miss,0.295,-0.252,0.843,0.277,153.116,-2.5877441406249995
2,FTI,0.075,-1.005,1.155,0.551,1866.408,-2.5877441406249995
3,RP,0.295,-0.031,0.622,0.16,29.646,-2.5877441406249995
0,Hit,0.706,-0.061,1.472,0.39,414.21,-2.577744140625
1,Miss,0.083,-0.476,0.642,0.283,148.773,-2.577744140625
2,FTI,0.188,-0.882,1.257,0.545,1641.624,-2.577744140625
3,RP,0.309,-0.042,0.659,0.172,30.305,-2.577744140625
0,Hit,0.653,-0.107,1.413,0.387,447.728,-2.5677441406249994
1,Miss,-0.229,-0.778,0.32,0.278,163.367,-2.5677441406249994
2,FTI,-0.278,-1.345,0.789,0.544,1814.585,-2.5677441406249994
3,RP,0.216,-0.12,0.552,0.165,32.461,-2.5677441406249994
0,Hit,0.579,-0.183,1.341,0.388,409.707,-2.557744140625
1,Miss,-0.226,-0.783,0.331,0.282,146.824,-2.557744140625
2,FTI,-0.655,-1.716,0.405,0.541,1599.216,-2.557744140625
3,RP,0.218,-0.134,0.57,0.172,30.238,-2.557744140625
0,Hit,0.343,-0.43,1.117,0.393,345.921,-2.5477441406249994
1,Miss,-0.025,-0.602,0.552,0.291,123.456,-2.5477441406249994
2,FTI,-0.402,-1.463,0.659,0.541,1261.261,-2.5477441406249994
3,RP,0.222,-0.163,0.607,0.188,27.791,-2.5477441406249994
0,Hit,0.186,-0.572,0.945,0.386,367.616,-2.537744140625
1,Miss,0.002,-0.561,0.565,0.285,131.255,-2.537744140625
2,FTI,-0.157,-1.2,0.886,0.532,1347.646,-2.537744140625
3,RP,0.118,-0.254,0.489,0.182,28.98,-2.537744140625
0,Hit,0.201,-0.536,0.939,0.375,383.784,-2.527744140625
1,Miss,0.044,-0.501,0.59,0.276,137.075,-2.527744140625
2,FTI,-0.462,-1.479,0.555,0.518,1421.413,-2.527744140625
3,RP,0.086,-0.269,0.442,0.174,29.704,-2.527744140625
0,Hit,0.304,-0.424,1.032,0.37,386.684,-2.517744140625
1,Miss,0.118,-0.42,0.656,0.272,138.163,-2.517744140625
2,FTI,-0.64,-1.644,0.364,0.512,1431.967,-2.517744140625
3,RP,0.146,-0.205,0.496,0.172,29.889,-2.517744140625
0,Hit,0.489,-0.217,1.196,0.359,435.997,-2.5077441406249994
1,Miss,0.111,-0.403,0.625,0.26,157.529,-2.5077441406249994
2,FTI,-0.309,-1.296,0.678,0.503,1709.014,-2.5077441406249994
3,RP,0.154,-0.166,0.474,0.157,31.961,-2.5077441406249994
0,Hit,0.518,-0.159,1.195,0.345,466.427,-2.497744140625
1,Miss,0.251,-0.234,0.736,0.246,174.449,-2.497744140625
2,FTI,-0.155,-1.114,0.805,0.489,1985.262,-2.497744140625
3,RP,0.138,-0.15,0.426,0.142,33.913,-2.497744140625
0,Hit,0.531,-0.125,1.187,0.335,3298.0,-2.487744140625
1,Miss,0.507,0.044,0.969,0.236,3298.0,-2.487744140625
2,FTI,-0.344,-1.287,0.599,0.481,3298.0,-2.487744140625
3,RP,0.132,-0.125,0.388,0.131,3298.0,-2.487744140625
0,Hit,0.79,0.134,1.445,0.334,3298.0,-2.477744140625
1,Miss,0.545,0.083,1.006,0.235,3298.0,-2.477744140625
2,FTI,-0.424,-1.365,0.518,0.48,3298.0,-2.477744140625
3,RP,0.166,-0.09,0.421,0.13,3298.0,-2.477744140625
0,Hit,0.895,0.255,1.535,0.326,3298.0,-2.467744140625
1,Miss,0.423,-0.028,0.874,0.23,3298.0,-2.467744140625
2,FTI,-0.22,-1.139,0.699,0.469,3298.0,-2.467744140625
3,RP,0.208,-0.041,0.458,0.127,3298.0,-2.467744140625
0,Hit,0.764,0.139,1.388,0.318,3298.0,-2.457744140625
1,Miss,0.407,-0.033,0.847,0.224,3298.0,-2.457744140625
2,FTI,0.173,-0.723,1.07,0.457,3298.0,-2.457744140625
3,RP,0.253,0.009,0.497,0.124,3298.0,-2.457744140625
0,Hit,0.697,0.078,1.316,0.316,3298.0,-2.447744140625
1,Miss,0.485,0.049,0.921,0.222,3298.0,-2.447744140625
2,FTI,0.244,-0.645,1.134,0.454,3298.0,-2.447744140625
3,RP,0.278,0.037,0.52,0.123,3298.0,-2.447744140625
0,Hit,0.586,-0.031,1.203,0.315,3298.0,-2.437744140625
1,Miss,0.426,-0.009,0.86,0.222,3298.0,-2.437744140625
