index,condition,Estimate,ci_low,ci_high,SE,DF,time
0,Hit,-0.094,-0.724,0.537,0.322,3298.0,-2.057744140625
1,Miss,0.103,-0.341,0.547,0.226,3298.0,-2.057744140625
2,FTI,0.522,-0.384,1.427,0.462,3298.0,-2.057744140625
3,RP,-0.207,-0.454,0.039,0.125,3298.0,-2.057744140625
0,Hit,-0.2,-0.85,0.451,0.331,473.364,-2.0477441406249994
1,Miss,-0.021,-0.485,0.443,0.235,179.512,-2.0477441406249994
2,FTI,0.02,-0.904,0.945,0.471,2056.73,-2.0477441406249994
3,RP,-0.142,-0.413,0.13,0.134,34.707,-2.0477441406249994
0,Hit,-0.04,-0.704,0.624,0.338,458.866,-2.037744140625
1,Miss,0.024,-0.455,0.503,0.243,168.524,-2.037744140625
2,FTI,-0.295,-1.229,0.639,0.476,1869.899,-2.037744140625
3,RP,-0.025,-0.315,0.266,0.143,33.286,-2.037744140625
0,Hit,0.008,-0.643,0.659,0.331,491.447,-2.027744140625
1,Miss,-0.07,-0.534,0.394,0.235,187.034,-2.027744140625
2,FTI,-0.401,-1.325,0.524,0.472,2088.707,-2.027744140625
3,RP,0.04,-0.232,0.311,0.134,36.239,-2.027744140625
0,Hit,-0.319,-0.982,0.343,0.338,3298.0,-2.017744140625
1,Miss,-0.323,-0.789,0.144,0.238,3298.0,-2.017744140625
2,FTI,-0.29,-1.242,0.661,0.485,3298.0,-2.017744140625
3,RP,-0.103,-0.361,0.156,0.132,3298.0,-2.017744140625
0,Hit,-0.481,-1.16,0.197,0.346,3298.0,-2.0077441406249994
1,Miss,-0.27,-0.748,0.208,0.244,3298.0,-2.0077441406249994
2,FTI,-0.136,-1.11,0.838,0.497,3298.0,-2.0077441406249994
3,RP,-0.227,-0.491,0.038,0.135,3298.0,-2.0077441406249994
0,Hit,-0.263,-0.946,0.42,0.349,3298.0,-1.997744140625
1,Miss,-0.03,-0.512,0.451,0.246,3298.0,-1.997744140625
2,FTI,-0.281,-1.262,0.701,0.501,3298.0,-1.997744140625
3,RP,-0.222,-0.489,0.045,0.136,3298.0,-1.997744140625
0,Hit,-0.044,-0.73,0.642,0.35,3298.0,-1.987744140625
1,Miss,-0.001,-0.484,0.482,0.247,3298.0,-1.987744140625
2,FTI,-0.369,-1.354,0.617,0.503,3298.0,-1.987744140625
3,RP,-0.306,-0.574,-0.039,0.137,3298.0,-1.987744140625
0,Hit,-0.02,-0.72,0.68,0.357,3298.0,-1.977744140625
1,Miss,-0.098,-0.591,0.395,0.251,3298.0,-1.977744140625
2,FTI,0.038,-0.967,1.043,0.513,3298.0,-1.977744140625
3,RP,-0.405,-0.678,-0.132,0.139,3298.0,-1.977744140625
0,Hit,-0.109,-0.826,0.608,0.366,3298.0,-1.967744140625
1,Miss,-0.152,-0.657,0.353,0.258,3298.0,-1.967744140625
2,FTI,0.346,-0.683,1.376,0.525,3298.0,-1.967744140625
3,RP,-0.401,-0.681,-0.121,0.143,3298.0,-1.967744140625
0,Hit,0.03,-0.698,0.757,0.371,3298.0,-1.957744140625
1,Miss,-0.149,-0.662,0.364,0.262,3298.0,-1.957744140625
2,FTI,0.191,-0.854,1.237,0.533,3298.0,-1.957744140625
3,RP,-0.354,-0.638,-0.07,0.145,3298.0,-1.957744140625
0,Hit,0.227,-0.506,0.959,0.374,3298.0,-1.947744140625
1,Miss,-0.111,-0.627,0.406,0.263,3298.0,-1.947744140625
2,FTI,0.094,-0.959,1.146,0.537,3298.0,-1.947744140625
3,RP,-0.274,-0.56,0.011,0.146,3298.0,-1.947744140625
0,Hit,0.084,-0.652,0.82,0.375,3298.0,-1.937744140625
1,Miss,-0.079,-0.598,0.439,0.264,3298.0,-1.937744140625
2,FTI,-0.014,-1.071,1.043,0.539,3298.0,-1.937744140625
3,RP,-0.248,-0.535,0.039,0.146,3298.0,-1.937744140625
0,Hit,-0.089,-0.836,0.658,0.381,3298.0,-1.9277441406249995
1,Miss,-0.101,-0.627,0.426,0.268,3298.0,-1.9277441406249995
2,FTI,-0.457,-1.531,0.616,0.547,3298.0,-1.9277441406249995
3,RP,-0.248,-0.539,0.044,0.149,3298.0,-1.9277441406249995
0,Hit,-0.21,-0.959,0.54,0.382,3298.0,-1.9177441406249995
1,Miss,-0.096,-0.624,0.432,0.269,3298.0,-1.9177441406249995
2,FTI,-0.789,-1.865,0.288,0.549,3298.0,-1.9177441406249995
3,RP,-0.254,-0.546,0.039,0.149,3298.0,-1.9177441406249995
0,Hit,-0.431,-1.18,0.318,0.382,3298.0,-1.9077441406249995
1,Miss,0.053,-0.474,0.581,0.269,3298.0,-1.9077441406249995
2,FTI,-0.796,-1.872,0.281,0.549,3298.0,-1.9077441406249995
3,RP,-0.361,-0.653,-0.068,0.149,3298.0,-1.9077441406249995
0,Hit,-0.473,-1.225,0.278,0.383,3298.0,-1.8977441406249995
1,Miss,0.026,-0.504,0.555,0.27,3298.0,-1.8977441406249995
2,FTI,-0.871,-1.95,0.208,0.55,3298.0,-1.8977441406249995
3,RP,-0.468,-0.762,-0.175,0.15,3298.0,-1.8977441406249995
0,Hit,-0.406,-1.173,0.361,0.391,3298.0,-1.8877441406249995
1,Miss,-0.319,-0.859,0.221,0.276,3298.0,-1.8877441406249995
2,FTI,-0.766,-1.868,0.336,0.562,3298.0,-1.8877441406249995
3,RP,-0.449,-0.748,-0.149,0.153,3298.0,-1.8877441406249995
0,Hit,-0.459,-1.253,0.334,0.404,491.839,-1.8777441406249995
1,Miss,-0.533,-1.098,0.032,0.286,188.547,-1.8777441406249995
2,FTI,-0.225,-1.355,0.905,0.576,2119.283,-1.8777441406249995
3,RP,-0.399,-0.728,-0.071,0.162,36.45,-1.8777441406249995
0,Hit,-0.396,-1.207,0.414,0.412,489.087,-1.867744140625
1,Miss,-0.504,-1.082,0.074,0.293,185.757,-1.867744140625
2,FTI,0.034,-1.117,1.186,0.587,2077.747,-1.867744140625
3,RP,-0.39,-0.729,-0.051,0.167,36.004,-1.867744140625
0,Hit,-0.087,-0.894,0.72,0.411,508.757,-1.857744140625
1,Miss,-0.43,-1.001,0.141,0.29,200.605,-1.857744140625
2,FTI,-0.173,-1.33,0.983,0.59,2236.132,-1.857744140625
3,RP,-0.339,-0.665,-0.014,0.161,38.732,-1.857744140625
0,Hit,-0.05,-0.881,0.782,0.423,487.366,-1.847744140625
1,Miss,-0.282,-0.88,0.316,0.303,181.049,-1.847744140625
2,FTI,-0.494,-1.667,0.679,0.598,1961.086,-1.847744140625
3,RP,-0.259,-0.618,0.101,0.177,35.627,-1.847744140625
0,Hit,-0.27,-1.092,0.551,0.418,502.243,-1.837744140625
1,Miss,-0.233,-0.819,0.353,0.297,191.595,-1.837744140625
2,FTI,-0.999,-2.167,0.17,0.596,2108.153,-1.837744140625
3,RP,-0.245,-0.587,0.098,0.169,37.167,-1.837744140625
0,Hit,-0.256,-1.06,0.548,0.41,3298.0,-1.827744140625
1,Miss,-0.201,-0.768,0.365,0.289,3298.0,-1.827744140625
2,FTI,-1.225,-2.381,-0.07,0.589,3298.0,-1.827744140625
3,RP,-0.286,-0.599,0.028,0.16,3298.0,-1.827744140625
0,Hit,-0.068,-0.885,0.748,0.416,3298.0,-1.817744140625
1,Miss,-0.267,-0.842,0.308,0.293,3298.0,-1.817744140625
2,FTI,-0.635,-1.807,0.538,0.598,3298.0,-1.817744140625
3,RP,-0.335,-0.653,-0.016,0.162,3298.0,-1.817744140625
0,Hit,-0.115,-0.948,0.719,0.425,3298.0,-1.807744140625
1,Miss,-0.34,-0.927,0.247,0.299,3298.0,-1.807744140625
2,FTI,-0.217,-1.414,0.98,0.61,3298.0,-1.807744140625
3,RP,-0.38,-0.705,-0.055,0.166,3298.0,-1.807744140625
0,Hit,-0.52,-1.35,0.311,0.424,3298.0,-1.7977441406249997
1,Miss,-0.244,-0.829,0.342,0.299,3298.0,-1.7977441406249997
2,FTI,-0.435,-1.629,0.758,0.609,3298.0,-1.7977441406249997
3,RP,-0.426,-0.75,-0.102,0.165,3298.0,-1.7977441406249997
0,Hit,-0.924,-1.78,-0.069,0.436,469.55,-1.7877441406249996
1,Miss,-0.291,-0.909,0.328,0.313,172.425,-1.7877441406249996
2,FTI,-0.502,-1.705,0.701,0.613,1872.121,-1.7877441406249996
3,RP,-0.527,-0.903,-0.151,0.185,34.238,-1.7877441406249996
0,Hit,-0.89,-1.75,-0.03,0.438,469.846,-1.7777441406249996
1,Miss,-0.466,-1.089,0.157,0.316,171.713,-1.7777441406249996
2,FTI,-0.415,-1.621,0.79,0.615,1828.6,-1.7777441406249996
3,RP,-0.562,-0.945,-0.179,0.189,34.47,-1.7777441406249996
0,Hit,-0.575,-1.442,0.291,0.441,469.609,-1.7677441406249996
1,Miss,-0.381,-1.009,0.246,0.318,171.786,-1.7677441406249996
2,FTI,-0.497,-1.712,0.719,0.62,1838.103,-1.7677441406249996
3,RP,-0.58,-0.965,-0.195,0.189,34.394,-1.7677441406249996
0,Hit,-0.517,-1.374,0.341,0.436,494.61,-1.7577441406249996
1,Miss,-0.211,-0.825,0.402,0.311,186.776,-1.7577441406249996
2,FTI,-0.623,-1.839,0.593,0.62,2055.742,-1.7577441406249996
3,RP,-0.573,-0.935,-0.211,0.178,36.345,-1.7577441406249996
0,Hit,-0.533,-1.386,0.321,0.435,491.744,-1.7477441406249996
1,Miss,-0.327,-0.937,0.283,0.309,185.924,-1.7477441406249996
2,FTI,-0.712,-1.924,0.499,0.618,2059.394,-1.7477441406249996
3,RP,-0.37,-0.729,-0.011,0.177,36.131,-1.7477441406249996
0,Hit,-0.254,-1.108,0.601,0.435,504.853,-1.7377441406249996
1,Miss,-0.563,-1.171,0.045,0.308,194.66,-1.7377441406249996
2,FTI,-0.822,-2.04,0.396,0.621,2153.935,-1.7377441406249996
3,RP,-0.228,-0.58,0.124,0.174,37.658,-1.7377441406249996
0,Hit,-0.249,-1.111,0.613,0.439,500.827,-1.7277441406249996
1,Miss,-0.592,-1.204,0.019,0.31,194.621,-1.7277441406249996
2,FTI,-0.958,-2.189,0.273,0.628,2179.155,-1.7277441406249996
3,RP,-0.363,-0.715,-0.011,0.174,37.577,-1.7277441406249996
0,Hit,-0.546,-1.413,0.321,0.442,3298.0,-1.7177441406249996
1,Miss,-0.498,-1.109,0.112,0.311,3298.0,-1.7177441406249996
2,FTI,-0.864,-2.109,0.381,0.635,3298.0,-1.7177441406249996
3,RP,-0.529,-0.868,-0.191,0.173,3298.0,-1.7177441406249996
0,Hit,-0.529,-1.41,0.352,0.449,3298.0,-1.7077441406249996
1,Miss,-0.422,-1.042,0.198,0.316,3298.0,-1.7077441406249996
2,FTI,-0.834,-2.099,0.43,0.645,3298.0,-1.7077441406249996
3,RP,-0.577,-0.921,-0.234,0.175,3298.0,-1.7077441406249996
0,Hit,-0.403,-1.292,0.486,0.453,3298.0,-1.6977441406249996
1,Miss,-0.441,-1.068,0.185,0.319,3298.0,-1.6977441406249996
2,FTI,-1.168,-2.445,0.109,0.651,3298.0,-1.6977441406249996
3,RP,-0.511,-0.858,-0.164,0.177,3298.0,-1.6977441406249996
0,Hit,-0.523,-1.431,0.384,0.462,491.177,-1.6877441406249996
1,Miss,-0.41,-1.058,0.238,0.328,186.249,-1.6877441406249996
2,FTI,-1.136,-2.424,0.152,0.657,2072.314,-1.6877441406249996
3,RP,-0.488,-0.868,-0.108,0.188,36.139,-1.6877441406249996
0,Hit,-0.683,-1.588,0.222,0.461,507.714,-1.6777441406249995
1,Miss,-0.34,-0.984,0.304,0.326,195.815,-1.6777441406249995
2,FTI,-1.06,-2.351,0.23,0.658,2157.513,-1.6777441406249995
3,RP,-0.554,-0.927,-0.181,0.184,37.897,-1.6777441406249995
0,Hit,-0.641,-1.533,0.252,0.454,503.864,-1.6677441406249995
1,Miss,-0.252,-0.886,0.383,0.322,194.961,-1.6677441406249995
2,FTI,-1.517,-2.791,-0.243,0.65,2166.326,-1.6677441406249995
3,RP,-0.555,-0.921,-0.189,0.181,37.684,-1.6677441406249995
0,Hit,-0.463,-1.357,0.43,0.455,492.915,-1.6577441406249995
1,Miss,-0.321,-0.958,0.316,0.323,187.738,-1.6577441406249995
2,FTI,-1.421,-2.691,-0.151,0.648,2093.338,-1.6577441406249995
3,RP,-0.489,-0.862,-0.117,0.184,36.375,-1.6577441406249995
0,Hit,-0.239,-1.12,0.643,0.449,3298.0,-1.6477441406249995
1,Miss,-0.576,-1.197,0.044,0.317,3298.0,-1.6477441406249995
2,FTI,-0.758,-2.024,0.507,0.646,3298.0,-1.6477441406249995
3,RP,-0.507,-0.851,-0.163,0.175,3298.0,-1.6477441406249995
0,Hit,-0.119,-1.003,0.765,0.451,3298.0,-1.6377441406249995
1,Miss,-0.497,-1.12,0.125,0.318,3298.0,-1.6377441406249995
2,FTI,-0.746,-2.016,0.523,0.647,3298.0,-1.6377441406249995
3,RP,-0.6,-0.945,-0.255,0.176,3298.0,-1.6377441406249995
0,Hit,-0.339,-1.246,0.567,0.461,469.577,-1.6277441406249995
1,Miss,-0.083,-0.732,0.567,0.329,175.495,-1.6277441406249995
2,FTI,-1.227,-2.511,0.056,0.654,1983.937,-1.6277441406249995
3,RP,-0.633,-1.019,-0.247,0.19,34.161,-1.6277441406249995
0,Hit,-0.366,-1.278,0.547,0.465,475.869,-1.6177441406249995
1,Miss,-0.038,-0.689,0.613,0.33,180.893,-1.6177441406249995
2,FTI,-1.506,-2.805,-0.208,0.662,2069.398,-1.6177441406249995
3,RP,-0.579,-0.959,-0.198,0.187,34.961,-1.6177441406249995
0,Hit,-0.014,-0.919,0.89,0.461,3298.0,-1.6077441406249997
1,Miss,-0.403,-1.041,0.234,0.325,3298.0,-1.6077441406249997
2,FTI,-1.593,-2.892,-0.293,0.663,3298.0,-1.6077441406249997
3,RP,-0.489,-0.842,-0.136,0.18,3298.0,-1.6077441406249997
0,Hit,-0.114,-1.02,0.792,0.462,3298.0,-1.5977441406249997
1,Miss,-0.47,-1.108,0.168,0.325,3298.0,-1.5977441406249997
2,FTI,-1.476,-2.777,-0.174,0.664,3298.0,-1.5977441406249997
3,RP,-0.463,-0.816,-0.109,0.18,3298.0,-1.5977441406249997
0,Hit,-0.564,-1.495,0.368,0.474,472.811,-1.5877441406249997
1,Miss,-0.258,-0.921,0.405,0.336,180.794,-1.5877441406249997
2,FTI,-1.329,-2.656,-0.001,0.677,2090.614,-1.5877441406249997
3,RP,-0.546,-0.932,-0.161,0.19,34.863,-1.5877441406249997
0,Hit,-0.458,-1.392,0.476,0.475,464.949,-1.5777441406249997
1,Miss,-0.307,-0.971,0.357,0.336,178.113,-1.5777441406249997
2,FTI,-1.368,-2.7,-0.037,0.679,2089.544,-1.5777441406249997
3,RP,-0.611,-0.996,-0.226,0.19,34.29,-1.5777441406249997
0,Hit,-0.056,-0.994,0.883,0.478,453.718,-1.5677441406249997
1,Miss,-0.282,-0.951,0.388,0.339,171.796,-1.5677441406249997
2,FTI,-1.417,-2.753,-0.081,0.681,2030.261,-1.5677441406249997
3,RP,-0.651,-1.042,-0.259,0.192,33.113,-1.5677441406249997
0,Hit,0.104,-0.852,1.06,0.487,461.418,-1.5577441406249997
1,Miss,-0.228,-0.914,0.458,0.347,171.667,-1.5577441406249997
2,FTI,-1.451,-2.803,-0.099,0.69,1953.133,-1.5577441406249997
3,RP,-0.694,-1.103,-0.285,0.201,33.455,-1.5577441406249997
0,Hit,0.045,-0.912,1.002,0.487,490.698,-1.5477441406249997
1,Miss,-0.303,-0.989,0.382,0.347,184.326,-1.5477441406249997
2,FTI,-1.44,-2.796,-0.084,0.691,2026.572,-1.5477441406249997
3,RP,-0.722,-1.129,-0.316,0.2,35.951,-1.5477441406249997
0,Hit,0.016,-0.922,0.955,0.479,3298.0,-1.5377441406249996
1,Miss,-0.268,-0.929,0.393,0.337,3298.0,-1.5377441406249996
2,FTI,-1.315,-2.663,0.033,0.687,3298.0,-1.5377441406249996
3,RP,-0.724,-1.09,-0.358,0.187,3298.0,-1.5377441406249996
0,Hit,0.228,-0.719,1.174,0.482,488.979,-1.5277441406249996
1,Miss,-0.379,-1.05,0.292,0.34,190.896,-1.5277441406249996
2,FTI,-1.084,-2.438,0.27,0.691,2183.383,-1.5277441406249996
3,RP,-0.696,-1.081,-0.312,0.19,36.783,-1.5277441406249996
0,Hit,0.248,-0.698,1.194,0.481,471.132,-1.5177441406249996
1,Miss,-0.597,-1.269,0.076,0.341,180.887,-1.5177441406249996
2,FTI,-1.032,-2.382,0.317,0.688,2104.747,-1.5177441406249996
3,RP,-0.711,-1.1,-0.321,0.192,34.841,-1.5177441406249996
0,Hit,-0.062,-0.997,0.874,0.477,3298.0,-1.5077441406249996
1,Miss,-0.619,-1.278,0.04,0.336,3298.0,-1.5077441406249996
2,FTI,-1.066,-2.41,0.278,0.685,3298.0,-1.5077441406249996
3,RP,-0.69,-1.055,-0.325,0.186,3298.0,-1.5077441406249996
0,Hit,-0.048,-0.988,0.891,0.479,3298.0,-1.4977441406249996
1,Miss,-0.589,-1.251,0.073,0.338,3298.0,-1.4977441406249996
2,FTI,-0.893,-2.242,0.457,0.688,3298.0,-1.4977441406249996
3,RP,-0.591,-0.957,-0.224,0.187,3298.0,-1.4977441406249996
0,Hit,0.255,-0.69,1.199,0.482,3298.0,-1.4877441406249998
1,Miss,-0.539,-1.204,0.126,0.339,3298.0,-1.4877441406249998
2,FTI,-0.844,-2.2,0.512,0.692,3298.0,-1.4877441406249998
3,RP,-0.664,-1.033,-0.296,0.188,3298.0,-1.4877441406249998
0,Hit,0.424,-0.524,1.373,0.484,3298.0,-1.4777441406249996
1,Miss,-0.389,-1.057,0.279,0.341,3298.0,-1.4777441406249996
2,FTI,-0.994,-2.357,0.368,0.695,3298.0,-1.4777441406249996
3,RP,-0.827,-1.197,-0.457,0.189,3298.0,-1.4777441406249996
0,Hit,0.472,-0.476,1.421,0.484,3298.0,-1.4677441406249998
1,Miss,-0.249,-0.917,0.419,0.341,3298.0,-1.4677441406249998
2,FTI,-0.961,-2.324,0.401,0.695,3298.0,-1.4677441406249998
3,RP,-0.813,-1.183,-0.443,0.189,3298.0,-1.4677441406249998
0,Hit,0.361,-0.601,1.322,0.489,471.952,-1.4577441406249996
1,Miss,-0.165,-0.85,0.52,0.347,179.591,-1.4577441406249996
2,FTI,-1.146,-2.514,0.223,0.698,2069.971,-1.4577441406249996
3,RP,-0.715,-1.115,-0.315,0.197,34.673,-1.4577441406249996
0,Hit,0.166,-0.806,1.139,0.495,474.384,-1.4477441406249998
1,Miss,-0.188,-0.885,0.509,0.353,177.312,-1.4477441406249998
2,FTI,-1.773,-3.149,-0.396,0.702,1988.33,-1.4477441406249998
3,RP,-0.747,-1.161,-0.332,0.204,34.556,-1.4477441406249998
0,Hit,0.136,-0.837,1.11,0.495,478.598,-1.4377441406249996
1,Miss,-0.243,-0.937,0.451,0.352,181.558,-1.4377441406249996
2,FTI,-1.934,-3.318,-0.551,0.705,2063.124,-1.4377441406249996
3,RP,-0.848,-1.255,-0.441,0.2,35.134,-1.4377441406249996
0,Hit,0.106,-0.89,1.101,0.507,468.466,-1.4277441406249998
1,Miss,-0.299,-1.012,0.413,0.361,175.245,-1.4277441406249998
2,FTI,-1.754,-3.164,-0.344,0.719,1987.948,-1.4277441406249998
3,RP,-0.863,-1.286,-0.44,0.208,34.081,-1.4277441406249998
0,Hit,0.056,-0.955,1.067,0.515,476.303,-1.4177441406249995
1,Miss,-0.362,-1.087,0.362,0.367,178.404,-1.4177441406249995
2,FTI,-1.942,-3.374,-0.511,0.73,2000.838,-1.4177441406249995
3,RP,-0.801,-1.23,-0.371,0.212,34.735,-1.4177441406249995
0,Hit,0.059,-0.972,1.089,0.524,476.556,-1.4077441406249998
1,Miss,-0.192,-0.932,0.548,0.375,177.263,-1.4077441406249998
2,FTI,-1.872,-3.328,-0.416,0.742,1962.841,-1.4077441406249998
3,RP,-0.789,-1.232,-0.346,0.218,34.708,-1.4077441406249998
0,Hit,0.118,-0.913,1.149,0.525,467.122,-1.3977441406249995
1,Miss,-0.114,-0.852,0.625,0.374,174.76,-1.3977441406249995
2,FTI,-1.355,-2.815,0.106,0.745,1987.349,-1.3977441406249995
3,RP,-0.874,-1.312,-0.436,0.215,33.972,-1.3977441406249995
0,Hit,0.211,-0.825,1.248,0.527,454.702,-1.3877441406249995
1,Miss,-0.169,-0.917,0.578,0.379,166.664,-1.3877441406249995
2,FTI,-1.018,-2.476,0.439,0.743,1853.385,-1.3877441406249995
3,RP,-0.974,-1.428,-0.519,0.223,32.96,-1.3877441406249995
0,Hit,0.188,-0.858,1.234,0.532,449.98,-1.3777441406249995
1,Miss,-0.108,-0.868,0.653,0.385,163.137,-1.3777441406249995
2,FTI,-0.867,-2.328,0.595,0.745,1743.443,-1.3777441406249995
3,RP,-0.989,-1.462,-0.516,0.232,33.1,-1.3777441406249995
0,Hit,0.08,-0.983,1.143,0.541,386.251,-1.3677441406249995
1,Miss,-0.081,-0.869,0.706,0.398,138.252,-1.3677441406249995
2,FTI,-0.719,-2.183,0.745,0.746,1408.159,-1.3677441406249995
3,RP,-0.972,-1.488,-0.456,0.253,30.292,-1.3677441406249995
0,Hit,0.01,-1.061,1.081,0.545,345.989,-1.3577441406249997
1,Miss,-0.293,-1.096,0.509,0.405,124.329,-1.3577441406249997
2,FTI,-0.484,-1.948,0.979,0.746,1223.403,-1.3577441406249997
3,RP,-0.96,-1.501,-0.419,0.265,28.788,-1.3577441406249997
0,Hit,-0.059,-1.108,0.99,0.533,396.259,-1.3477441406249997
1,Miss,-0.55,-1.323,0.224,0.391,141.735,-1.3477441406249997
2,FTI,-0.437,-1.886,1.012,0.739,1471.773,-1.3477441406249997
3,RP,-0.928,-1.429,-0.427,0.246,30.412,-1.3477441406249997
0,Hit,-0.088,-1.131,0.956,0.531,432.985,-1.3377441406249997
1,Miss,-0.635,-1.394,0.125,0.384,156.341,-1.3377441406249997
2,FTI,-0.918,-2.376,0.539,0.743,1702.948,-1.3377441406249997
3,RP,-0.872,-1.346,-0.399,0.232,31.706,-1.3377441406249997
0,Hit,0.181,-0.866,1.227,0.532,443.486,-1.3277441406249997
1,Miss,-0.566,-1.326,0.194,0.385,160.718,-1.3277441406249997
2,FTI,-1.255,-2.719,0.208,0.746,1744.308,-1.3277441406249997
3,RP,-0.822,-1.293,-0.35,0.231,32.443,-1.3277441406249997
0,Hit,0.612,-0.442,1.666,0.536,446.62,-1.3177441406249994
1,Miss,-0.348,-1.115,0.419,0.388,161.749,-1.3177441406249994
2,FTI,-1.231,-2.704,0.241,0.751,1731.713,-1.3177441406249994
3,RP,-0.869,-1.346,-0.391,0.235,32.855,-1.3177441406249994
0,Hit,0.576,-0.492,1.645,0.544,425.67,-1.3077441406249997
1,Miss,-0.098,-0.877,0.682,0.395,153.19,-1.3077441406249997
2,FTI,-1.441,-2.931,0.048,0.759,1654.736,-1.3077441406249997
3,RP,-0.988,-1.478,-0.498,0.24,31.377,-1.3077441406249997
0,Hit,0.057,-1.014,1.129,0.545,398.286,-1.2977441406249994
1,Miss,0.019,-0.765,0.804,0.397,142.313,-1.2977441406249994
2,FTI,-1.553,-3.042,-0.064,0.759,1552.467,-1.2977441406249994
3,RP,-1.064,-1.563,-0.565,0.244,29.506,-1.2977441406249994
0,Hit,-0.28,-1.349,0.79,0.544,411.407,-1.2877441406249996
1,Miss,-0.05,-0.831,0.731,0.395,147.541,-1.2877441406249996
2,FTI,-1.182,-2.672,0.307,0.759,1614.241,-1.2877441406249996
3,RP,-1.014,-1.506,-0.521,0.241,30.266,-1.2877441406249996
0,Hit,-0.411,-1.477,0.654,0.542,440.469,-1.2777441406249994
1,Miss,-0.138,-0.909,0.633,0.391,160.291,-1.2777441406249994
2,FTI,-0.688,-2.184,0.808,0.763,1789.838,-1.2777441406249994
3,RP,-0.951,-1.424,-0.479,0.232,31.897,-1.2777441406249994
0,Hit,-0.558,-1.631,0.514,0.546,433.005,-1.2677441406249996
1,Miss,-0.081,-0.858,0.695,0.393,157.226,-1.2677441406249996
2,FTI,-0.683,-2.187,0.822,0.767,1768.531,-1.2677441406249996
3,RP,-1.07,-1.547,-0.593,0.234,31.303,-1.2677441406249996
0,Hit,-0.481,-1.569,0.607,0.553,403.757,-1.2577441406249994
1,Miss,0.038,-0.759,0.834,0.403,144.443,-1.2577441406249994
2,FTI,-1.185,-2.697,0.326,0.771,1565.557,-1.2577441406249994
3,RP,-1.259,-1.765,-0.753,0.248,29.96,-1.2577441406249994
0,Hit,-0.339,-1.432,0.754,0.556,397.236,-1.2477441406249996
1,Miss,0.035,-0.769,0.839,0.407,141.961,-1.2477441406249996
2,FTI,-1.604,-3.118,-0.091,0.772,1500.626,-1.2477441406249996
3,RP,-1.331,-1.849,-0.814,0.253,30.069,-1.2477441406249996
0,Hit,-0.306,-1.404,0.791,0.558,397.56,-1.2377441406249998
1,Miss,-0.092,-0.899,0.716,0.408,142.081,-1.2377441406249998
2,FTI,-1.706,-3.225,-0.186,0.775,1502.689,-1.2377441406249998
3,RP,-1.335,-1.854,-0.815,0.254,30.077,-1.2377441406249998
0,Hit,-0.189,-1.287,0.909,0.559,386.463,-1.2277441406249996
1,Miss,-0.277,-1.084,0.53,0.408,137.73,-1.2277441406249996
2,FTI,-1.599,-3.122,-0.077,0.776,1492.67,-1.2277441406249996
3,RP,-1.321,-1.839,-0.804,0.253,28.909,-1.2277441406249996
0,Hit,-0.075,-1.195,1.045,0.57,361.337,-1.2177441406249998
1,Miss,-0.323,-1.154,0.507,0.42,128.64,-1.2177441406249998
2,FTI,-1.599,-3.141,-0.057,0.786,1346.814,-1.2177441406249998
3,RP,-1.329,-1.874,-0.783,0.266,28.136,-1.2177441406249998
0,Hit,0.013,-1.123,1.15,0.578,343.314,-1.2077441406249996
1,Miss,-0.291,-1.139,0.558,0.429,122.772,-1.2077441406249996
2,FTI,-1.675,-3.23,-0.119,0.793,1239.031,-1.2077441406249996
3,RP,-1.296,-1.865,-0.727,0.278,27.942,-1.2077441406249996
0,Hit,0.129,-1.011,1.27,0.58,346.609,-1.1977441406249998
1,Miss,-0.451,-1.301,0.399,0.429,123.653,-1.1977441406249998
2,FTI,-1.729,-3.293,-0.164,0.797,1266.565,-1.1977441406249998
3,RP,-1.198,-1.764,-0.631,0.276,27.768,-1.1977441406249998
0,Hit,-0.059,-1.172,1.055,0.566,404.929,-1.1877441406249996
1,Miss,-0.679,-1.49,0.131,0.41,145.271,-1.1877441406249996
2,FTI,-1.908,-3.463,-0.353,0.793,1636.34,-1.1877441406249996
3,RP,-1.208,-1.715,-0.701,0.248,29.41,-1.1877441406249996
0,Hit,-0.328,-1.412,0.757,0.552,435.133,-1.1777441406249998
1,Miss,-0.619,-1.393,0.155,0.392,163.695,-1.1777441406249998
2,FTI,-1.84,-3.381,-0.298,0.786,1981.807,-1.1777441406249998
3,RP,-1.28,-1.734,-0.825,0.223,31.516,-1.1777441406249998
0,Hit,-0.227,-1.317,0.864,0.555,425.156,-1.1677441406249995
1,Miss,-0.393,-1.173,0.388,0.395,158.131,-1.1677441406249995
2,FTI,-1.755,-3.301,-0.208,0.788,1917.62,-1.1677441406249995
3,RP,-1.269,-1.732,-0.806,0.227,30.542,-1.1677441406249995
0,Hit,-0.156,-1.269,0.957,0.566,418.947,-1.1577441406249998
1,Miss,-0.386,-1.19,0.417,0.407,152.459,-1.1577441406249998
2,FTI,-1.989,-3.555,-0.422,0.799,1782.036,-1.1577441406249998
3,RP,-1.263,-1.752,-0.774,0.24,30.004,-1.1577441406249998
0,Hit,-0.304,-1.438,0.829,0.577,405.95,-1.1477441406249995
1,Miss,-0.454,-1.281,0.373,0.418,145.501,-1.1477441406249995
2,FTI,-1.711,-3.291,-0.13,0.806,1617.371,-1.1477441406249995
