condition,isprobe,isfti,wait_times,probe_times,fti_time,subject,brief,event_times
RP,0,0,2.9010747000002084,,,33702,True,2.9010747000002084
RP,0,0,1.6465118000000984,,,33702,True,1.6465118000000984
RP,0,0,4.269728100000066,,,33702,False,4.269728100000066
RP,0,0,4.519401699999889,,,33702,False,4.519401699999889
Miss,1,0,,3.7256124000000455,,33702,False,3.7256124000000455
RP,0,0,3.1941545999998198,,,33702,True,3.1941545999998198
Miss,1,0,,3.0121940999997605,,33702,False,3.0121940999997605
RP,0,0,3.164048300000104,,,33702,True,3.164048300000104
RP,0,0,4.606214500000078,,,33702,False,4.606214500000078
RP,0,0,3.6626203000000714,,,33702,False,3.6626203000000714
FTI,1,1,,4.90447469999981,0.19105510000008508,33702,False,4.90447469999981
RP,0,0,2.8570402000000286,,,33702,True,2.8570402000000286
RP,0,0,3.5503237000002628,,,33702,True,3.5503237000002628
FTI,1,1,,3.9676331000000573,0.20704469999964203,33702,False,3.9676331000000573
RP,0,0,3.4636587999998483,,,33702,True,3.4636587999998483
Miss,1,0,,3.134766799999852,,33702,False,3.134766799999852
RP,0,0,3.471213599999828,,,33702,True,3.471213599999828
RP,0,0,3.144178799999736,,,33702,True,3.144178799999736
RP,0,0,4.24755899999991,,,33702,False,4.24755899999991
RP,0,0,3.767346500000258,,,33702,False,3.767346500000258
RP,0,0,2.7941617999999835,,,33702,True,2.7941617999999835
RP,0,0,3.327567000000272,,,33702,True,3.327567000000272
FTI,1,1,,3.7135049000003164,0.22113039999976536,33702,False,3.7135049000003164
FTI,1,1,,3.4260787999996865,0.2623950000001969,33702,False,3.4260787999996865
RP,0,0,2.7467553000001317,,,33702,True,2.7467553000001317
RP,0,0,4.287428699999964,,,33702,False,4.287428699999964
Miss,1,0,,3.6004437999999936,,33702,False,3.6004437999999936
FTI,1,1,,3.358072600000014,0.2586827000000085,33702,False,3.358072600000014
RP,0,0,3.6874093999999786,,,33702,False,3.6874093999999786
RP,0,0,2.9195901000002777,,,33702,True,2.9195901000002777
FTI,1,1,,3.61983089999967,0.15502390000028754,33702,False,3.61983089999967
RP,0,0,3.7867780999999923,,,33702,False,3.7867780999999923
RP,0,0,4.543780699999843,,,33702,False,4.543780699999843
Miss,1,0,,3.382192000000032,,33702,False,3.382192000000032
RP,0,0,2.984755700000278,,,33702,True,2.984755700000278
