index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
0,Hit - Miss,1.268,-0.224,2.759,0.623,3163.891,2.036,0.126,,0.8022558593750002
1,Hit - RP,0.453,-0.814,1.719,0.529,2868.369,0.856,1.0,,0.8022558593750002
2,Miss - RP,-0.815,-1.968,0.338,0.481,1808.802,-1.693,0.272,,0.8022558593750002
0,Hit - Miss,1.213,-0.278,2.704,0.622,3098.306,1.949,0.154,,0.812255859375
1,Hit - RP,0.334,-0.93,1.597,0.528,2708.915,0.632,1.0,,0.812255859375
2,Miss - RP,-0.879,-2.026,0.267,0.479,1546.486,-1.838,0.199,,0.812255859375
0,Hit - Miss,1.183,-0.288,2.654,0.614,3118.574,1.927,0.162,,0.8222558593750007
1,Hit - RP,0.462,-0.785,1.709,0.521,2756.557,0.887,1.0,,0.8222558593750007
2,Miss - RP,-0.721,-1.854,0.412,0.473,1617.931,-1.525,0.382,,0.8222558593750007
0,Hit - Miss,1.042,-0.404,2.488,0.604,3146.118,1.726,0.253,,0.8322558593750005
1,Hit - RP,0.59,-0.637,1.817,0.512,2823.667,1.152,0.749,,0.8322558593750005
2,Miss - RP,-0.452,-1.569,0.665,0.466,1728.41,-0.97,0.996,,0.8322558593750005
0,Hit - Miss,0.963,-0.486,2.413,0.605,3160.547,1.592,0.335,,0.8422558593750002
1,Hit - RP,0.48,-0.751,1.71,0.514,2859.492,0.934,1.0,,0.8422558593750002
2,Miss - RP,-0.484,-1.604,0.637,0.468,1791.359,-1.034,0.904,,0.8422558593750002
0,Hit - Miss,1.097,-0.356,2.549,0.606,3162.051,1.808,0.212,,0.852255859375
1,Hit - RP,0.347,-0.886,1.58,0.515,2862.744,0.674,1.0,,0.852255859375
2,Miss - RP,-0.75,-1.873,0.374,0.469,1795.846,-1.599,0.33,,0.852255859375
0,Hit - Miss,1.034,-0.401,2.469,0.599,3107.889,1.727,0.253,,0.8622558593750007
1,Hit - RP,0.118,-1.099,1.335,0.508,2730.053,0.232,1.0,,0.8622558593750007
2,Miss - RP,-0.917,-2.022,0.188,0.461,1574.458,-1.988,0.141,,0.8622558593750007
0,Hit - Miss,0.768,-0.655,2.191,0.594,2992.56,1.293,0.588,,0.8722558593750005
1,Hit - RP,-0.134,-1.339,1.07,0.503,2475.244,-0.267,1.0,,0.8722558593750005
