index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
1,Miss,-0.591,-1.204,0.021,0.31,194.317,-1.7277441406249996
2,RP,-0.363,-0.715,-0.01,0.174,37.524,-1.7277441406249996
0,Hit,-0.65,-1.361,0.062,0.363,3299.0,-1.7177441406249996
1,Miss,-0.498,-1.109,0.112,0.311,3299.0,-1.7177441406249996
2,RP,-0.529,-0.867,-0.191,0.173,3299.0,-1.7177441406249996
0,Hit,-0.629,-1.351,0.094,0.369,3299.0,-1.7077441406249996
1,Miss,-0.422,-1.042,0.198,0.316,3299.0,-1.7077441406249996
2,RP,-0.577,-0.921,-0.234,0.175,3299.0,-1.7077441406249996
0,Hit,-0.653,-1.382,0.077,0.372,3299.0,-1.6977441406249996
1,Miss,-0.441,-1.068,0.185,0.319,3299.0,-1.6977441406249996
2,RP,-0.511,-0.858,-0.164,0.177,3299.0,-1.6977441406249996
0,Hit,-0.725,-1.47,0.02,0.379,403.583,-1.6877441406249996
1,Miss,-0.412,-1.059,0.235,0.328,187.625,-1.6877441406249996
2,RP,-0.487,-0.866,-0.108,0.187,36.382,-1.6877441406249996
0,Hit,-0.807,-1.55,-0.063,0.378,429.26,-1.6777441406249995
1,Miss,-0.341,-0.984,0.303,0.326,196.561,-1.6777441406249995
2,RP,-0.554,-0.926,-0.181,0.184,38.033,-1.6777441406249995
0,Hit,-0.928,-1.661,-0.194,0.373,428.798,-1.6677441406249995
1,Miss,-0.252,-0.886,0.382,0.322,195.412,-1.6677441406249995
2,RP,-0.555,-0.921,-0.188,0.181,37.769,-1.6677441406249995
0,Hit,-0.779,-1.514,-0.043,0.374,401.948,-1.6577441406249995
1,Miss,-0.32,-0.958,0.318,0.324,186.91,-1.6577441406249995
2,RP,-0.489,-0.863,-0.115,0.185,36.242,-1.6577441406249995
0,Hit,-0.408,-1.131,0.315,0.369,3299.0,-1.6477441406249995
1,Miss,-0.576,-1.197,0.044,0.317,3299.0,-1.6477441406249995
2,RP,-0.507,-0.851,-0.163,0.175,3299.0,-1.6477441406249995
0,Hit,-0.324,-1.049,0.401,0.37,3299.0,-1.6377441406249995
1,Miss,-0.497,-1.12,0.125,0.317,3299.0,-1.6377441406249995
2,RP,-0.6,-0.945,-0.255,0.176,3299.0,-1.6377441406249995
0,Hit,-0.638,-1.388,0.111,0.381,362.678,-1.6277441406249995
1,Miss,-0.08,-0.734,0.574,0.331,174.012,-1.6277441406249995
2,RP,-0.634,-1.026,-0.242,0.193,34.079,-1.6277441406249995
0,Hit,-0.749,-1.504,0.006,0.384,380.227,-1.6177441406249995
1,Miss,-0.032,-0.689,0.625,0.333,178.859,-1.6177441406249995
2,RP,-0.581,-0.969,-0.192,0.192,34.77,-1.6177441406249995
0,Hit,-0.53,-1.272,0.213,0.379,3299.0,-1.6077441406249997
1,Miss,-0.403,-1.041,0.234,0.325,3299.0,-1.6077441406249997
2,RP,-0.489,-0.842,-0.136,0.18,3299.0,-1.6077441406249997
0,Hit,-0.559,-1.304,0.187,0.379,420.465,-1.5977441406249997
1,Miss,-0.47,-1.112,0.173,0.326,186.299,-1.5977441406249997
2,RP,-0.463,-0.829,-0.097,0.18,35.827,-1.5977441406249997
0,Hit,-0.815,-1.582,-0.049,0.39,393.842,-1.5877441406249997
1,Miss,-0.256,-0.92,0.409,0.337,180.576,-1.5877441406249997
2,RP,-0.547,-0.934,-0.159,0.191,34.85,-1.5877441406249997
0,Hit,-0.758,-1.526,0.011,0.391,389.816,-1.5777441406249997
1,Miss,-0.304,-0.969,0.362,0.337,178.03,-1.5777441406249997
2,RP,-0.612,-0.999,-0.224,0.191,34.314,-1.5777441406249997
0,Hit,-0.503,-1.277,0.27,0.393,372.444,-1.5677441406249997
1,Miss,-0.278,-0.949,0.394,0.34,172.097,-1.5677441406249997
2,RP,-0.652,-1.046,-0.257,0.194,33.234,-1.5677441406249997
0,Hit,-0.409,-1.198,0.38,0.401,359.215,-1.5577441406249997
1,Miss,-0.226,-0.914,0.462,0.349,171.597,-1.5577441406249997
2,RP,-0.694,-1.106,-0.282,0.203,33.533,-1.5577441406249997
0,Hit,-0.445,-1.234,0.345,0.402,384.758,-1.5477441406249997
1,Miss,-0.302,-0.99,0.386,0.349,183.386,-1.5477441406249997
2,RP,-0.722,-1.132,-0.313,0.202,35.849,-1.5477441406249997
0,Hit,-0.419,-1.189,0.352,0.393,3299.0,-1.5377441406249996
1,Miss,-0.268,-0.929,0.393,0.337,3299.0,-1.5377441406249996
2,RP,-0.724,-1.09,-0.358,0.187,3299.0,-1.5377441406249996
0,Hit,-0.202,-0.982,0.577,0.396,418.727,-1.5277441406249996
1,Miss,-0.377,-1.05,0.296,0.341,189.067,-1.5277441406249996
2,RP,-0.697,-1.085,-0.31,0.191,36.444,-1.5277441406249996
0,Hit,-0.172,-0.951,0.606,0.396,393.439,-1.5177441406249996
1,Miss,-0.595,-1.269,0.079,0.342,179.555,-1.5177441406249996
2,RP,-0.711,-1.103,-0.319,0.193,34.612,-1.5177441406249996
0,Hit,-0.389,-1.157,0.378,0.392,3299.0,-1.5077441406249996
1,Miss,-0.619,-1.278,0.04,0.336,3299.0,-1.5077441406249996
2,RP,-0.69,-1.055,-0.325,0.186,3299.0,-1.5077441406249996
0,Hit,-0.324,-1.095,0.447,0.393,3299.0,-1.4977441406249996
1,Miss,-0.589,-1.251,0.073,0.338,3299.0,-1.4977441406249996
2,RP,-0.591,-0.957,-0.224,0.187,3299.0,-1.4977441406249996
0,Hit,-0.104,-0.879,0.671,0.395,3299.0,-1.4877441406249998
1,Miss,-0.539,-1.204,0.126,0.339,3299.0,-1.4877441406249998
2,RP,-0.664,-1.033,-0.296,0.188,3299.0,-1.4877441406249998
0,Hit,-0.039,-0.818,0.74,0.397,3299.0,-1.4777441406249996
1,Miss,-0.389,-1.058,0.279,0.341,3299.0,-1.4777441406249996
2,RP,-0.827,-1.197,-0.457,0.189,3299.0,-1.4777441406249996
0,Hit,0.004,-0.774,0.783,0.397,3299.0,-1.4677441406249998
1,Miss,-0.249,-0.918,0.419,0.341,3299.0,-1.4677441406249998
2,RP,-0.813,-1.183,-0.443,0.189,3299.0,-1.4677441406249998
0,Hit,-0.134,-0.925,0.656,0.402,394.954,-1.4577441406249996
1,Miss,-0.167,-0.852,0.518,0.347,181.134,-1.4577441406249996
2,RP,-0.714,-1.113,-0.315,0.197,34.963,-1.4577441406249996
0,Hit,-0.474,-1.276,0.328,0.408,373.24,-1.4477441406249998
1,Miss,-0.187,-0.886,0.512,0.354,177.655,-1.4477441406249998
2,RP,-0.746,-1.163,-0.329,0.205,34.687,-1.4477441406249998
0,Hit,-0.545,-1.348,0.257,0.408,388.599,-1.4377441406249996
1,Miss,-0.24,-0.937,0.458,0.353,181.319,-1.4377441406249996
2,RP,-0.848,-1.259,-0.438,0.202,35.165,-1.4377441406249996
0,Hit,-0.509,-1.33,0.313,0.418,366.675,-1.4277441406249998
1,Miss,-0.297,-1.013,0.419,0.363,174.176,-1.4277441406249998
2,RP,-0.863,-1.29,-0.436,0.21,33.966,-1.4277441406249998
0,Hit,-0.606,-1.442,0.23,0.425,366.449,-1.4177441406249995
1,Miss,-0.358,-1.087,0.371,0.369,175.372,-1.4177441406249995
2,RP,-0.801,-1.238,-0.365,0.215,34.311,-1.4177441406249995
0,Hit,-0.582,-1.434,0.271,0.433,358.98,-1.4077441406249998
1,Miss,-0.189,-0.934,0.556,0.377,174.068,-1.4077441406249998
2,RP,-0.789,-1.238,-0.339,0.221,34.262,-1.4077441406249998
0,Hit,-0.368,-1.218,0.482,0.432,367.523,-1.3977441406249995
1,Miss,-0.113,-0.853,0.628,0.375,173.813,-1.3977441406249995
2,RP,-0.874,-1.314,-0.434,0.217,33.835,-1.3977441406249995
0,Hit,-0.196,-1.05,0.657,0.434,342.332,-1.3877441406249995
1,Miss,-0.172,-0.92,0.575,0.379,167.273,-1.3877441406249995
2,RP,-0.972,-1.426,-0.518,0.223,33.038,-1.3877441406249995
0,Hit,-0.163,-1.027,0.7,0.439,322.847,-1.3777441406249995
1,Miss,-0.111,-0.871,0.649,0.385,164.074,-1.3777441406249995
2,RP,-0.987,-1.459,-0.516,0.232,33.219,-1.3777441406249995
0,Hit,-0.188,-1.072,0.696,0.449,250.44,-1.3677441406249995
1,Miss,-0.084,-0.871,0.704,0.398,138.377,-1.3677441406249995
2,RP,-0.97,-1.486,-0.454,0.253,30.314,-1.3677441406249995
0,Hit,-0.157,-1.052,0.738,0.454,215.264,-1.3577441406249997
1,Miss,-0.294,-1.097,0.508,0.406,124.22,-1.3577441406249997
2,RP,-0.959,-1.501,-0.417,0.265,28.795,-1.3577441406249997
0,Hit,-0.186,-1.057,0.685,0.442,261.131,-1.3477441406249997
1,Miss,-0.55,-1.324,0.224,0.392,141.727,-1.3477441406249997
2,RP,-0.927,-1.429,-0.426,0.246,30.432,-1.3477441406249997
0,Hit,-0.364,-1.227,0.499,0.439,305.512,-1.3377441406249997
1,Miss,-0.635,-1.395,0.126,0.385,156.099,-1.3377441406249997
2,RP,-0.872,-1.346,-0.397,0.233,31.723,-1.3377441406249997
0,Hit,-0.298,-1.164,0.568,0.44,313.763,-1.3277441406249997
1,Miss,-0.565,-1.328,0.197,0.386,159.846,-1.3277441406249997
2,RP,-0.821,-1.296,-0.346,0.233,32.417,-1.3277441406249997
0,Hit,-0.002,-0.875,0.871,0.444,313.489,-1.3177441406249994
1,Miss,-0.349,-1.118,0.42,0.39,160.935,-1.3177441406249994
2,RP,-0.867,-1.347,-0.386,0.236,32.829,-1.3177441406249994
0,Hit,-0.097,-0.983,0.79,0.45,292.633,-1.3077441406249997
1,Miss,-0.098,-0.881,0.685,0.396,152.154,-1.3077441406249997
2,RP,-0.986,-1.48,-0.491,0.242,31.356,-1.3077441406249997
0,Hit,-0.481,-1.371,0.409,0.452,267.296,-1.2977441406249994
1,Miss,0.022,-0.767,0.811,0.399,141.242,-1.2977441406249994
2,RP,-1.063,-1.567,-0.559,0.247,29.53,-1.2977441406249994
0,Hit,-0.581,-1.466,0.304,0.45,284.292,-1.2877441406249996
1,Miss,-0.05,-0.832,0.732,0.396,147.401,-1.2877441406249996
2,RP,-1.013,-1.506,-0.519,0.242,30.304,-1.2877441406249996
0,Hit,-0.503,-1.382,0.376,0.447,324.474,-1.2777441406249994
1,Miss,-0.139,-0.91,0.632,0.39,160.587,-1.2777441406249994
2,RP,-0.951,-1.423,-0.478,0.232,31.938,-1.2777441406249994
0,Hit,-0.6,-1.484,0.285,0.45,317.85,-1.2677441406249996
1,Miss,-0.082,-0.858,0.694,0.393,157.478,-1.2677441406249996
2,RP,-1.07,-1.546,-0.593,0.234,31.335,-1.2677441406249996
0,Hit,-0.716,-1.617,0.184,0.458,275.664,-1.2577441406249994
1,Miss,0.037,-0.76,0.834,0.403,144.505,-1.2577441406249994
2,RP,-1.258,-1.764,-0.751,0.248,29.992,-1.2577441406249994
0,Hit,-0.763,-1.671,0.145,0.461,262.43,-1.2477441406249996
1,Miss,0.035,-0.772,0.841,0.408,141.197,-1.2477441406249996
2,RP,-1.33,-1.85,-0.809,0.255,30.045,-1.2477441406249996
0,Hit,-0.776,-1.688,0.137,0.463,261.263,-1.2377441406249998
1,Miss,-0.092,-0.902,0.719,0.41,140.806,-1.2377441406249998
2,RP,-1.333,-1.857,-0.809,0.256,30.014,-1.2377441406249998
0,Hit,-0.662,-1.574,0.251,0.463,256.229,-1.2277441406249996
1,Miss,-0.277,-1.087,0.533,0.409,136.804,-1.2277441406249996
2,RP,-1.32,-1.841,-0.798,0.255,28.889,-1.2277441406249996
0,Hit,-0.587,-1.52,0.345,0.473,232.443,-1.2177441406249998
1,Miss,-0.327,-1.158,0.505,0.42,128.454,-1.2177441406249998
2,RP,-1.326,-1.873,-0.779,0.267,28.16,-1.2177441406249998
0,Hit,-0.555,-1.503,0.392,0.481,217.127,-1.2077441406249996
1,Miss,-0.297,-1.145,0.552,0.429,123.459,-1.2077441406249996
2,RP,-1.292,-1.86,-0.724,0.277,28.05,-1.2077441406249996
0,Hit,-0.496,-1.446,0.454,0.482,221.886,-1.1977441406249998
1,Miss,-0.458,-1.307,0.392,0.429,124.771,-1.1977441406249998
2,RP,-1.193,-1.758,-0.628,0.276,27.942,-1.1977441406249998
0,Hit,-0.675,-1.595,0.246,0.468,288.169,-1.1877441406249996
1,Miss,-0.683,-1.494,0.128,0.41,146.485,-1.1877441406249996
2,RP,-1.206,-1.713,-0.699,0.248,29.649,-1.1877441406249996
0,Hit,-0.825,-1.717,0.068,0.454,358.274,-1.1777441406249998
1,Miss,-0.618,-1.393,0.157,0.392,164.902,-1.1777441406249998
2,RP,-1.279,-1.735,-0.824,0.224,31.775,-1.1777441406249998
0,Hit,-0.73,-1.629,0.168,0.457,339.837,-1.1677441406249995
1,Miss,-0.39,-1.173,0.392,0.396,158.841,-1.1677441406249995
2,RP,-1.269,-1.734,-0.804,0.228,30.729,-1.1677441406249995
0,Hit,-0.764,-1.683,0.156,0.467,311.32,-1.1577441406249998
1,Miss,-0.384,-1.191,0.422,0.408,152.367,-1.1577441406249998
2,RP,-1.263,-1.755,-0.77,0.241,30.09,-1.1577441406249998
0,Hit,-0.773,-1.711,0.164,0.476,285.218,-1.1477441406249995
1,Miss,-0.457,-1.284,0.37,0.418,146.287,-1.1477441406249995
2,RP,-1.354,-1.873,-0.835,0.254,29.812,-1.1477441406249995
0,Hit,-0.564,-1.53,0.402,0.49,229.258,-1.1377441406249995
1,Miss,-0.417,-1.279,0.445,0.436,127.037,-1.1377441406249995
2,RP,-1.506,-2.075,-0.938,0.277,27.939,-1.1377441406249995
0,Hit,-0.508,-1.476,0.46,0.491,231.537,-1.1277441406249995
1,Miss,-0.4,-1.263,0.464,0.436,128.26,-1.1277441406249995
2,RP,-1.546,-2.115,-0.977,0.278,28.196,-1.1277441406249995
0,Hit,-0.62,-1.586,0.345,0.49,240.461,-1.1177441406249995
1,Miss,-0.373,-1.233,0.487,0.435,131.735,-1.1177441406249995
2,RP,-1.456,-2.018,-0.893,0.275,28.588,-1.1177441406249995
0,Hit,-0.715,-1.676,0.247,0.488,239.353,-1.1077441406249997
1,Miss,-0.382,-1.238,0.474,0.433,129.966,-1.1077441406249997
2,RP,-1.451,-2.008,-0.893,0.272,27.932,-1.1077441406249997
0,Hit,-0.862,-1.805,0.08,0.479,276.154,-1.0977441406249997
1,Miss,-0.381,-1.212,0.45,0.42,141.024,-1.0977441406249997
2,RP,-1.425,-1.947,-0.903,0.255,28.639,-1.0977441406249997
0,Hit,-0.977,-1.902,-0.052,0.47,316.925,-1.0877441406249997
1,Miss,-0.207,-1.018,0.604,0.41,154.897,-1.0877441406249997
2,RP,-1.275,-1.769,-0.78,0.242,30.571,-1.0877441406249997
0,Hit,-0.9,-1.83,0.031,0.473,319.45,-1.0777441406249997
1,Miss,-0.123,-0.939,0.693,0.413,157.098,-1.0777441406249997
2,RP,-1.3,-1.799,-0.801,0.245,31.119,-1.0777441406249997
0,Hit,-0.716,-1.658,0.226,0.479,307.083,-1.0677441406249994
1,Miss,-0.193,-1.021,0.635,0.419,153.952,-1.0677441406249994
2,RP,-1.512,-2.025,-1.0,0.251,30.862,-1.0677441406249994
0,Hit,-0.631,-1.586,0.323,0.485,280.43,-1.0577441406249997
1,Miss,-0.249,-1.092,0.594,0.427,145.778,-1.0577441406249997
2,RP,-1.671,-2.204,-1.137,0.261,30.036,-1.0577441406249997
0,Hit,-0.714,-1.687,0.259,0.494,254.693,-1.0477441406249994
1,Miss,-0.456,-1.321,0.409,0.437,137.93,-1.0477441406249994
2,RP,-1.742,-2.303,-1.181,0.274,29.552,-1.0477441406249994
0,Hit,-0.883,-1.861,0.095,0.497,253.44,-1.0377441406249996
1,Miss,-0.692,-1.562,0.178,0.44,138.12,-1.0377441406249996
2,RP,-1.746,-2.312,-1.18,0.277,29.793,-1.0377441406249996
0,Hit,-0.984,-1.989,0.021,0.51,212.918,-1.0277441406249994
1,Miss,-0.634,-1.535,0.268,0.455,122.742,-1.0277441406249994
2,RP,-1.709,-2.318,-1.101,0.297,28.416,-1.0277441406249994
0,Hit,-1.009,-2.024,0.005,0.515,210.739,-1.0177441406249996
1,Miss,-0.458,-1.368,0.452,0.46,121.338,-1.0177441406249996
2,RP,-1.717,-2.332,-1.103,0.3,28.046,-1.0177441406249996
0,Hit,-0.978,-1.979,0.024,0.508,237.659,-1.0077441406249994
1,Miss,-0.327,-1.218,0.565,0.451,129.98,-1.0077441406249994
2,RP,-1.759,-2.342,-1.176,0.285,28.157,-1.0077441406249994
0,Hit,-0.777,-1.782,0.228,0.51,228.818,-0.9977441406249996
1,Miss,-0.225,-1.122,0.672,0.453,126.779,-0.9977441406249996
2,RP,-1.75,-2.341,-1.158,0.289,27.88,-0.9977441406249996
0,Hit,-0.71,-1.708,0.287,0.506,236.979,-0.9877441406249998
1,Miss,-0.032,-0.921,0.857,0.449,130.521,-0.9877441406249998
2,RP,-1.725,-2.309,-1.142,0.285,28.498,-0.9877441406249998
0,Hit,-1.008,-2.011,-0.004,0.509,232.648,-0.9777441406249996
1,Miss,0.218,-0.677,1.113,0.452,129.084,-0.9777441406249996
2,RP,-1.752,-2.342,-1.162,0.288,28.431,-0.9777441406249996
0,Hit,-1.232,-2.245,-0.219,0.514,216.348,-0.9677441406249998
1,Miss,-0.021,-0.928,0.886,0.458,122.762,-0.9677441406249998
2,RP,-1.826,-2.433,-1.219,0.296,27.817,-0.9677441406249998
0,Hit,-1.148,-2.191,-0.105,0.529,184.682,-0.9577441406249996
1,Miss,-0.417,-1.359,0.524,0.475,110.591,-0.9577441406249996
2,RP,-1.933,-2.586,-1.281,0.318,27.149,-0.9577441406249996
0,Hit,-1.05,-2.083,-0.016,0.524,206.112,-0.9477441406249998
1,Miss,-0.404,-1.333,0.524,0.469,119.845,-0.9477441406249998
2,RP,-1.926,-2.556,-1.295,0.308,28.095,-0.9477441406249998
0,Hit,-1.171,-2.181,-0.16,0.513,246.249,-0.9377441406249996
1,Miss,-0.358,-1.258,0.542,0.455,135.483,-0.9377441406249996
2,RP,-1.942,-2.531,-1.353,0.288,29.539,-0.9377441406249996
0,Hit,-1.256,-2.266,-0.247,0.513,263.658,-0.9277441406249998
1,Miss,-0.479,-1.375,0.418,0.454,141.736,-0.9277441406249998
2,RP,-2.1,-2.679,-1.522,0.283,30.133,-0.9277441406249998
0,Hit,-1.128,-2.155,-0.101,0.521,251.518,-0.9177441406249996
1,Miss,-0.453,-1.366,0.461,0.462,137.067,-0.9177441406249996
2,RP,-2.087,-2.681,-1.492,0.291,29.566,-0.9177441406249996
0,Hit,-1.012,-2.06,0.036,0.532,224.555,-0.9077441406249998
1,Miss,-0.354,-1.291,0.583,0.474,126.855,-0.9077441406249998
2,RP,-1.953,-2.578,-1.328,0.305,28.572,-0.9077441406249998
0,Hit,-1.062,-2.119,-0.005,0.536,209.172,-0.8977441406249995
1,Miss,-0.236,-1.184,0.713,0.479,120.806,-0.8977441406249995
2,RP,-2.006,-2.648,-1.365,0.313,28.045,-0.8977441406249995
0,Hit,-1.291,-2.339,-0.243,0.532,224.059,-0.8877441406249997
1,Miss,0.018,-0.919,0.955,0.474,126.412,-0.8877441406249997
2,RP,-2.076,-2.701,-1.452,0.305,28.426,-0.8877441406249997
0,Hit,-1.49,-2.531,-0.449,0.528,240.603,-0.8777441406249995
1,Miss,0.027,-0.901,0.954,0.469,132.037,-0.8777441406249995
2,RP,-2.054,-2.661,-1.447,0.297,28.708,-0.8777441406249995
0,Hit,-1.513,-2.55,-0.476,0.526,243.524,-0.8677441406249997
1,Miss,-0.373,-1.295,0.55,0.466,132.491,-0.8677441406249997
2,RP,-2.038,-2.639,-1.437,0.294,28.533,-0.8677441406249997
0,Hit,-1.425,-2.462,-0.387,0.527,247.31,-0.8577441406249995
1,Miss,-0.563,-1.485,0.36,0.466,133.497,-0.8577441406249995
2,RP,-1.939,-2.538,-1.341,0.292,28.509,-0.8577441406249995
0,Hit,-1.318,-2.352,-0.284,0.525,261.439,-0.8477441406249997
1,Miss,-0.359,-1.275,0.557,0.463,138.236,-0.8477441406249997
2,RP,-1.848,-2.434,-1.261,0.287,28.919,-0.8477441406249997
0,Hit,-1.327,-2.358,-0.296,0.524,258.246,-0.8377441406249995
1,Miss,-0.372,-1.287,0.542,0.462,136.79,-0.8377441406249995
2,RP,-1.909,-2.495,-1.323,0.286,28.666,-0.8377441406249995
0,Hit,-1.409,-2.458,-0.36,0.532,225.86,-0.8277441406249997
1,Miss,-0.664,-1.6,0.272,0.473,125.093,-0.8277441406249997
2,RP,-1.982,-2.599,-1.364,0.301,27.499,-0.8277441406249997
0,Hit,-1.411,-2.474,-0.348,0.539,219.723,-0.8177441406249994
1,Miss,-0.655,-1.605,0.296,0.48,123.593,-0.8177441406249994
2,RP,-1.975,-2.608,-1.342,0.309,27.691,-0.8177441406249994
0,Hit,-1.354,-2.404,-0.304,0.533,250.051,-0.8077441406249997
1,Miss,-0.419,-1.354,0.515,0.472,136.182,-0.8077441406249997
2,RP,-1.928,-2.536,-1.32,0.297,29.356,-0.8077441406249997
0,Hit,-1.322,-2.367,-0.277,0.531,263.014,-0.7977441406249994
1,Miss,-0.275,-1.202,0.653,0.469,140.989,-0.7977441406249994
2,RP,-1.949,-2.546,-1.351,0.292,29.889,-0.7977441406249994
0,Hit,-1.335,-2.403,-0.268,0.542,231.615,-0.7877441406249996
1,Miss,-0.116,-1.069,0.837,0.482,128.99,-0.7877441406249996
2,RP,-2.054,-2.684,-1.424,0.308,28.537,-0.7877441406249996
0,Hit,-1.417,-2.481,-0.353,0.54,244.802,-0.7777441406249994
1,Miss,-0.239,-1.185,0.708,0.479,133.172,-0.7777441406249994
2,RP,-2.034,-2.65,-1.417,0.301,28.676,-0.7777441406249994
0,Hit,-1.402,-2.438,-0.367,0.526,299.274,-0.7677441406249996
1,Miss,-0.672,-1.582,0.238,0.461,149.855,-0.7677441406249996
2,RP,-1.938,-2.502,-1.375,0.276,30.012,-0.7677441406249996
0,Hit,-1.283,-2.314,-0.251,0.524,306.042,-0.7577441406249994
1,Miss,-0.713,-1.618,0.192,0.458,150.915,-0.7577441406249994
2,RP,-1.921,-2.477,-1.366,0.272,29.932,-0.7577441406249994
0,Hit,-1.413,-2.434,-0.392,0.519,335.354,-0.7477441406249996
1,Miss,-0.44,-1.331,0.45,0.451,158.674,-0.7477441406249996
2,RP,-1.916,-2.449,-1.383,0.261,30.839,-0.7477441406249996
0,Hit,-1.767,-2.766,-0.769,0.508,377.392,-0.7377441406249998
1,Miss,-0.409,-1.271,0.453,0.437,167.847,-0.7377441406249998
2,RP,-1.876,-2.372,-1.38,0.244,32.15,-0.7377441406249998
0,Hit,-1.851,-2.867,-0.835,0.517,350.755,-0.7277441406249996
1,Miss,-0.462,-1.346,0.422,0.448,164.297,-0.7277441406249996
2,RP,-1.831,-2.357,-1.306,0.258,31.831,-0.7277441406249996
0,Hit,-1.666,-2.706,-0.626,0.528,307.564,-0.7177441406249998
1,Miss,-0.502,-1.415,0.411,0.462,152.513,-0.7177441406249998
2,RP,-1.856,-2.418,-1.294,0.275,30.355,-0.7177441406249998
0,Hit,-1.662,-2.709,-0.614,0.532,284.21,-0.7077441406249996
1,Miss,-0.535,-1.458,0.387,0.467,143.384,-0.7077441406249996
2,RP,-1.94,-2.515,-1.365,0.281,28.859,-0.7077441406249996
0,Hit,-1.687,-2.754,-0.62,0.542,250.705,-0.6977441406249998
1,Miss,-0.329,-1.276,0.618,0.479,133.408,-0.6977441406249998
2,RP,-1.991,-2.6,-1.382,0.297,28.082,-0.6977441406249998
0,Hit,-1.631,-2.725,-0.537,0.555,215.735,-0.6877441406249996
1,Miss,-0.21,-1.189,0.769,0.495,122.267,-0.6877441406249996
2,RP,-2.02,-2.675,-1.365,0.32,27.663,-0.6877441406249996
0,Hit,-1.625,-2.73,-0.519,0.561,207.112,-0.6777441406249998
1,Miss,-0.413,-1.405,0.579,0.501,119.478,-0.6777441406249998
2,RP,-2.106,-2.776,-1.435,0.327,27.695,-0.6777441406249998
0,Hit,-1.519,-2.63,-0.409,0.563,209.905,-0.6677441406249995
1,Miss,-0.615,-1.611,0.381,0.503,120.837,-0.6677441406249995
2,RP,-2.18,-2.853,-1.508,0.328,27.925,-0.6677441406249995
0,Hit,-1.44,-2.562,-0.318,0.569,207.145,-0.6577441406249998
1,Miss,-0.62,-1.628,0.387,0.509,119.928,-0.6577441406249998
2,RP,-2.153,-2.836,-1.471,0.333,27.94,-0.6577441406249998
0,Hit,-1.556,-2.682,-0.429,0.571,209.982,-0.6477441406249995
1,Miss,-0.616,-1.626,0.395,0.51,121.031,-0.6477441406249995
2,RP,-2.141,-2.824,-1.458,0.333,28.018,-0.6477441406249995
0,Hit,-1.572,-2.695,-0.45,0.569,218.632,-0.6377441406249997
1,Miss,-0.817,-1.822,0.188,0.508,124.531,-0.6377441406249997
2,RP,-2.146,-2.819,-1.472,0.329,28.357,-0.6377441406249997
0,Hit,-1.488,-2.615,-0.361,0.572,215.586,-0.6277441406249995
1,Miss,-1.082,-2.092,-0.072,0.51,123.519,-0.6277441406249995
2,RP,-2.152,-2.831,-1.473,0.332,28.353,-0.6277441406249995
0,Hit,-1.581,-2.708,-0.454,0.572,213.748,-0.6177441406249997
1,Miss,-1.132,-2.142,-0.121,0.51,122.685,-0.6177441406249997
2,RP,-2.278,-2.958,-1.598,0.332,28.232,-0.6177441406249997
0,Hit,-1.681,-2.805,-0.557,0.57,215.918,-0.6077441406249995
1,Miss,-0.898,-1.906,0.109,0.509,123.674,-0.6077441406249995
2,RP,-2.387,-3.064,-1.709,0.331,28.376,-0.6077441406249995
0,Hit,-1.625,-2.757,-0.493,0.574,205.868,-0.5977441406249997
1,Miss,-0.658,-1.676,0.359,0.514,119.799,-0.5977441406249997
2,RP,-2.407,-3.098,-1.715,0.337,28.116,-0.5977441406249997
0,Hit,-1.5,-2.636,-0.364,0.576,209.25,-0.5877441406249995
1,Miss,-0.743,-1.762,0.276,0.515,120.836,-0.5877441406249995
2,RP,-2.493,-3.182,-1.804,0.337,28.047,-0.5877441406249995
0,Hit,-1.448,-2.583,-0.313,0.576,215.432,-0.5777441406249997
1,Miss,-0.868,-1.886,0.15,0.514,124.011,-0.5777441406249997
2,RP,-2.505,-3.191,-1.819,0.335,28.649,-0.5777441406249997
0,Hit,-1.491,-2.64,-0.343,0.582,185.293,-0.5677441406249994
1,Miss,-0.62,-1.658,0.418,0.524,112.101,-0.5677441406249994
2,RP,-2.371,-3.094,-1.648,0.353,27.987,-0.5677441406249994
0,Hit,-1.447,-2.603,-0.291,0.586,170.176,-0.5577441406249997
1,Miss,-0.318,-1.366,0.73,0.529,105.15,-0.5577441406249997
2,RP,-2.28,-3.022,-1.538,0.362,27.263,-0.5577441406249997
0,Hit,-1.288,-2.415,-0.161,0.572,207.457,-0.5477441406249994
1,Miss,-0.359,-1.371,0.654,0.511,120.683,-0.5477441406249994
2,RP,-2.254,-2.942,-1.567,0.336,28.308,-0.5477441406249994
0,Hit,-1.254,-2.357,-0.152,0.56,255.808,-0.5377441406249996
1,Miss,-0.609,-1.589,0.372,0.496,138.967,-0.5377441406249996
2,RP,-2.251,-2.887,-1.614,0.312,29.872,-0.5377441406249996
0,Hit,-1.578,-2.705,-0.45,0.572,227.191,-0.5277441406249994
1,Miss,-0.613,-1.621,0.395,0.51,128.332,-0.5277441406249994
2,RP,-2.282,-2.954,-1.611,0.328,28.898,-0.5277441406249994
0,Hit,-1.945,-3.116,-0.775,0.593,178.697,-0.5177441406249996
1,Miss,-0.35,-1.409,0.709,0.534,108.464,-0.5177441406249996
2,RP,-2.359,-3.099,-1.619,0.361,27.241,-0.5177441406249996
