index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
1,Miss,0.381,-0.233,0.996,0.311,156.868,-2.737744140625
2,RP,0.497,0.132,0.862,0.179,30.315,-2.737744140625
0,Hit,-0.264,-0.964,0.436,0.356,358.614,-2.727744140625
1,Miss,0.309,-0.298,0.917,0.308,163.379,-2.727744140625
2,RP,0.536,0.181,0.891,0.174,31.393,-2.727744140625
0,Hit,-0.161,-0.874,0.551,0.362,298.551,-2.717744140625
1,Miss,0.196,-0.431,0.823,0.317,149.974,-2.717744140625
2,RP,0.442,0.054,0.831,0.19,30.101,-2.717744140625
0,Hit,-0.006,-0.743,0.732,0.374,215.726,-2.707744140625
1,Miss,0.159,-0.5,0.818,0.333,120.789,-2.707744140625
2,RP,0.365,-0.074,0.803,0.214,26.912,-2.707744140625
0,Hit,0.034,-0.673,0.74,0.359,249.195,-2.697744140625
1,Miss,0.179,-0.447,0.805,0.316,130.779,-2.697744140625
2,RP,0.433,0.033,0.834,0.195,27.174,-2.697744140625
0,Hit,0.326,-0.329,0.98,0.334,3299.0,-2.687744140625
1,Miss,0.22,-0.342,0.782,0.286,3299.0,-2.687744140625
2,RP,0.435,0.124,0.746,0.159,3299.0,-2.687744140625
0,Hit,0.631,-0.038,1.301,0.34,332.687,-2.677744140625
1,Miss,0.278,-0.306,0.862,0.296,157.022,-2.677744140625
2,RP,0.324,-0.025,0.673,0.171,30.482,-2.677744140625
0,Hit,0.526,-0.179,1.232,0.358,219.918,-2.6677441406249995
1,Miss,0.314,-0.316,0.944,0.318,122.23,-2.6677441406249995
2,RP,0.313,-0.104,0.73,0.203,26.987,-2.6677441406249995
0,Hit,0.366,-0.316,1.049,0.346,250.801,-2.657744140625
1,Miss,0.302,-0.303,0.906,0.306,131.684,-2.657744140625
2,RP,0.326,-0.06,0.713,0.189,27.373,-2.657744140625
0,Hit,0.453,-0.204,1.11,0.334,312.005,-2.6477441406249995
1,Miss,0.352,-0.221,0.925,0.29,147.118,-2.6477441406249995
2,RP,0.241,-0.103,0.585,0.168,28.516,-2.6477441406249995
0,Hit,0.4,-0.262,1.061,0.336,287.584,-2.637744140625
1,Miss,0.435,-0.146,1.015,0.294,141.449,-2.637744140625
2,RP,0.209,-0.149,0.566,0.174,27.996,-2.637744140625
0,Hit,0.042,-0.604,0.689,0.329,304.069,-2.6277441406249995
1,Miss,0.369,-0.196,0.934,0.286,144.796,-2.6277441406249995
2,RP,0.258,-0.083,0.599,0.167,28.18,-2.6277441406249995
0,Hit,-0.141,-0.78,0.497,0.325,325.263,-2.617744140625
1,Miss,0.219,-0.338,0.776,0.282,153.831,-2.617744140625
2,RP,0.204,-0.13,0.538,0.163,29.876,-2.617744140625
0,Hit,-0.05,-0.682,0.582,0.321,368.812,-2.6077441406249995
1,Miss,0.177,-0.371,0.726,0.278,169.296,-2.6077441406249995
2,RP,0.106,-0.216,0.427,0.158,32.621,-2.6077441406249995
0,Hit,0.211,-0.409,0.831,0.316,3299.0,-2.597744140625
1,Miss,0.248,-0.284,0.78,0.271,3299.0,-2.597744140625
2,RP,0.159,-0.136,0.453,0.15,3298.998,-2.597744140625
0,Hit,0.511,-0.118,1.139,0.32,323.731,-2.5877441406249995
1,Miss,0.293,-0.255,0.841,0.277,152.372,-2.5877441406249995
2,RP,0.297,-0.031,0.625,0.16,29.531,-2.5877441406249995
0,Hit,0.533,-0.102,1.167,0.322,288.09,-2.577744140625
1,Miss,0.08,-0.479,0.64,0.283,147.957,-2.577744140625
2,RP,0.31,-0.041,0.662,0.172,30.185,-2.577744140625
0,Hit,0.343,-0.285,0.971,0.319,325.589,-2.5677441406249994
1,Miss,-0.233,-0.783,0.318,0.279,161.507,-2.5677441406249994
2,RP,0.218,-0.119,0.556,0.166,32.168,-2.5677441406249994
0,Hit,0.166,-0.465,0.798,0.321,280.621,-2.557744140625
1,Miss,-0.23,-0.787,0.328,0.282,145.932,-2.557744140625
2,RP,0.221,-0.132,0.573,0.173,30.077,-2.557744140625
0,Hit,0.092,-0.552,0.737,0.327,218.544,-2.5477441406249994
1,Miss,-0.027,-0.604,0.549,0.291,123.354,-2.5477441406249994
2,RP,0.224,-0.161,0.609,0.188,27.76,-2.5477441406249994
