condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
RP,0.741,0.313,1.168,0.207,23.361,-1.65,21.76923076923077
FTI,0.689,0.225,1.153,0.229,34.807,-1.65,21.76923076923077
Miss,0.715,0.254,1.175,0.224,25.595,-1.65,22.78205128205128
Hit,0.595,0.127,1.062,0.228,27.612,-1.65,22.78205128205128
RP,0.718,0.266,1.171,0.219,23.365,-1.65,22.78205128205128
FTI,0.637,0.146,1.128,0.242,34.964,-1.65,22.78205128205128
Miss,0.687,0.226,1.149,0.224,25.826,-1.65,23.794871794871803
Hit,0.546,0.077,1.015,0.229,28.033,-1.65,23.794871794871803
RP,0.687,0.235,1.14,0.219,23.397,-1.65,23.794871794871803
FTI,0.586,0.091,1.081,0.244,36.123,-1.65,23.794871794871803
Miss,0.657,0.216,1.099,0.215,26.078,-1.65,24.80769230769231
Hit,0.504,0.055,0.953,0.22,28.492,-1.65,24.80769230769231
RP,0.648,0.216,1.08,0.209,23.432,-1.65,24.80769230769231
FTI,0.539,0.063,1.015,0.235,37.401,-1.65,24.80769230769231
Miss,0.616,0.21,1.022,0.198,26.365,-1.65,25.820512820512818
Hit,0.466,0.052,0.88,0.203,29.016,-1.65,25.820512820512818
RP,0.603,0.206,1.0,0.192,23.47,-1.65,25.820512820512818
FTI,0.493,0.052,0.934,0.218,38.875,-1.65,25.820512820512818
Miss,0.561,0.198,0.925,0.177,26.951,-1.65,26.83333333333333
Hit,0.423,0.052,0.795,0.182,30.095,-1.65,26.83333333333333
RP,0.556,0.203,0.91,0.171,23.549,-1.65,26.83333333333333
FTI,0.447,0.048,0.847,0.198,41.958,-1.65,26.83333333333333
Miss,0.499,0.182,0.816,0.155,28.3,-1.65,27.84615384615385
Hit,0.373,0.046,0.7,0.161,32.608,-1.65,27.84615384615385
RP,0.507,0.201,0.813,0.148,23.728,-1.65,27.84615384615385
FTI,0.4,0.042,0.757,0.178,49.369,-1.65,27.84615384615385
Miss,0.437,0.166,0.708,0.133,30.862,-1.65,28.85897435897436
Hit,0.321,0.038,0.604,0.14,37.491,-1.65,28.85897435897436
RP,0.452,0.194,0.71,0.125,24.059,-1.65,28.85897435897436
FTI,0.35,0.031,0.67,0.16,64.607,-1.65,28.85897435897436
Miss,0.379,0.152,0.606,0.112,34.633,-1.65,29.871794871794872
Hit,0.274,0.034,0.515,0.119,44.917,-1.65,29.871794871794872
RP,0.391,0.18,0.602,0.102,24.524,-1.65,29.871794871794872
FTI,0.303,0.021,0.584,0.142,89.525,-1.65,29.871794871794872
Miss,0.324,0.139,0.509,0.091,38.916,-1.65,30.884615384615387
Hit,0.234,0.035,0.433,0.099,53.644,-1.65,30.884615384615387
RP,0.326,0.158,0.494,0.082,25.027,-1.65,30.884615384615387
FTI,0.259,0.019,0.5,0.122,120.946,-1.65,30.884615384615387
Miss,0.272,0.125,0.418,0.073,42.98,-1.65,31.897435897435894
Hit,0.196,0.036,0.355,0.08,62.173,-1.65,31.897435897435894
RP,0.263,0.132,0.393,0.064,25.482,-1.65,31.897435897435894
FTI,0.221,0.023,0.419,0.1,153.421,-1.65,31.897435897435894
Miss,0.221,0.108,0.334,0.056,46.82,-1.65,32.91025641025641
Hit,0.155,0.031,0.28,0.062,70.428,-1.65,32.91025641025641
RP,0.205,0.106,0.304,0.048,25.893,-1.65,32.91025641025641
FTI,0.186,0.028,0.343,0.08,186.208,-1.65,32.91025641025641
Miss,0.173,0.087,0.259,0.043,50.905,-1.65,33.92307692307692
Hit,0.114,0.019,0.21,0.048,79.389,-1.65,33.92307692307692
RP,0.156,0.081,0.23,0.036,26.315,-1.65,33.92307692307692
FTI,0.152,0.029,0.274,0.062,223.055,-1.65,33.92307692307692
Miss,0.129,0.064,0.194,0.032,55.5,-1.65,34.93589743589744
Hit,0.078,0.006,0.151,0.036,89.662,-1.65,34.93589743589744
RP,0.115,0.06,0.17,0.027,26.776,-1.65,34.93589743589744
FTI,0.119,0.025,0.214,0.048,266.619,-1.65,34.93589743589744
Miss,0.092,0.044,0.14,0.024,60.261,-1.65,35.94871794871795
Hit,0.051,-0.003,0.106,0.027,100.488,-1.65,35.94871794871795
RP,0.083,0.043,0.123,0.02,27.244,-1.65,35.94871794871795
FTI,0.09,0.018,0.161,0.036,313.792,-1.65,35.94871794871795
Miss,0.064,0.029,0.099,0.018,64.339,-1.65,36.96153846153846
Hit,0.033,-0.006,0.073,0.02,109.884,-1.65,36.96153846153846
RP,0.058,0.029,0.086,0.014,27.639,-1.65,36.96153846153846
FTI,0.064,0.011,0.117,0.027,355.609,-1.65,36.96153846153846
Miss,0.043,0.018,0.068,0.012,67.147,-1.65,37.97435897435897
Hit,0.022,-0.006,0.05,0.014,116.413,-1.65,37.97435897435897
RP,0.039,0.018,0.059,0.01,27.909,-1.65,37.97435897435897
FTI,0.042,0.004,0.081,0.019,385.077,-1.65,37.97435897435897
Miss,0.029,0.012,0.045,0.008,68.703,-1.65,38.987179487179496
Hit,0.015,-0.005,0.034,0.01,120.045,-1.65,38.987179487179496
RP,0.025,0.011,0.038,0.007,28.059,-1.65,38.987179487179496
FTI,0.026,0.0,0.052,0.013,401.589,-1.65,38.987179487179496
Miss,0.018,0.008,0.029,0.005,68.784,-1.65,40.0
Hit,0.01,-0.003,0.022,0.006,120.229,-1.65,40.0
RP,0.015,0.006,0.024,0.004,28.071,-1.65,40.0
FTI,0.015,-0.002,0.032,0.008,402.398,-1.65,40.0
Miss,2.906,0.469,5.344,1.189,27.35,-1.6,0.5
Hit,3.147,0.648,5.646,1.225,30.845,-1.6,0.5
RP,3.182,0.816,5.548,1.145,23.592,-1.6,0.5
FTI,5.067,2.367,7.767,1.34,44.161,-1.6,0.5
Miss,1.114,0.543,1.684,0.278,25.831,-1.6,1.5128205128205128
Hit,1.115,0.534,1.695,0.283,28.049,-1.6,1.5128205128205128
RP,0.97,0.411,1.53,0.271,23.391,-1.6,1.5128205128205128
FTI,1.046,0.434,1.659,0.302,36.183,-1.6,1.5128205128205128
Miss,0.877,0.401,1.353,0.232,27.197,-1.6,2.525641025641025
Hit,0.74,0.253,1.227,0.239,30.56,-1.6,2.525641025641025
RP,0.829,0.367,1.291,0.224,23.573,-1.6,2.525641025641025
FTI,1.034,0.508,1.559,0.261,43.326,-1.6,2.525641025641025
Miss,0.881,0.574,1.188,0.15,27.681,-1.6,3.5384615384615383
Hit,0.716,0.401,1.032,0.155,31.462,-1.6,3.5384615384615383
RP,0.756,0.459,1.054,0.144,23.633,-1.6,3.5384615384615383
FTI,0.975,0.632,1.317,0.17,45.983,-1.6,3.5384615384615383
Miss,0.887,0.617,1.156,0.132,29.797,-1.6,4.55128205128205
Hit,0.793,0.513,1.073,0.138,35.469,-1.6,4.55128205128205
RP,0.824,0.567,1.082,0.125,23.9,-1.6,4.55128205128205
FTI,0.987,0.675,1.3,0.156,58.233,-1.6,4.55128205128205
Miss,0.933,0.65,1.215,0.139,30.917,-1.6,5.564102564102564
Hit,0.909,0.614,1.204,0.146,37.633,-1.6,5.564102564102564
RP,0.991,0.723,1.26,0.13,24.034,-1.6,5.564102564102564
FTI,1.123,0.789,1.456,0.167,65.153,-1.6,5.564102564102564
Miss,1.195,0.75,1.64,0.218,29.664,-1.6,6.5769230769230775
Hit,1.256,0.795,1.718,0.227,35.239,-1.6,6.5769230769230775
RP,1.306,0.88,1.731,0.206,23.861,-1.6,6.5769230769230775
FTI,1.359,0.845,1.874,0.257,57.572,-1.6,6.5769230769230775
Miss,1.654,0.96,2.348,0.339,28.298,-1.6,7.589743589743589
Hit,1.732,1.017,2.447,0.351,32.655,-1.6,7.589743589743589
RP,1.754,1.084,2.423,0.324,23.678,-1.6,7.589743589743589
FTI,1.762,0.978,2.546,0.39,49.635,-1.6,7.589743589743589
Miss,2.075,1.307,2.843,0.375,28.904,-1.6,8.602564102564102
Hit,1.962,1.168,2.755,0.39,33.82,-1.6,8.602564102564102
RP,2.178,1.441,2.916,0.357,23.737,-1.6,8.602564102564102
FTI,2.105,1.228,2.982,0.437,53.233,-1.6,8.602564102564102
Miss,2.402,1.658,3.146,0.364,30.304,-1.6,9.615384615384617
Hit,2.024,1.25,2.798,0.382,36.506,-1.6,9.615384615384617
RP,2.423,1.714,3.132,0.343,23.905,-1.6,9.615384615384617
FTI,2.32,1.45,3.191,0.435,61.676,-1.6,9.615384615384617
Miss,2.375,1.745,3.005,0.309,31.513,-1.6,10.628205128205126
Hit,1.928,1.269,2.586,0.326,38.836,-1.6,10.628205128205126
RP,2.281,1.686,2.877,0.289,24.067,-1.6,10.628205128205126
FTI,2.286,1.535,3.036,0.376,69.187,-1.6,10.628205128205126
Miss,1.974,1.536,2.412,0.216,33.785,-1.6,11.64102564102564
Hit,1.684,1.221,2.146,0.229,43.325,-1.6,11.64102564102564
RP,1.833,1.424,2.243,0.198,24.335,-1.6,11.64102564102564
FTI,1.97,1.431,2.509,0.271,84.305,-1.6,11.64102564102564
Miss,1.496,1.219,1.772,0.136,37.88,-1.6,12.653846153846152
Hit,1.398,1.102,1.694,0.148,51.678,-1.6,12.653846153846152
RP,1.354,1.101,1.606,0.123,24.775,-1.6,12.653846153846152
FTI,1.55,1.193,1.906,0.18,114.193,-1.6,12.653846153846152
Miss,1.145,0.948,1.343,0.098,39.307,-1.6,13.666666666666664
Hit,1.164,0.951,1.377,0.106,54.61,-1.6,13.666666666666664
RP,1.021,0.842,1.2,0.087,24.953,-1.6,13.666666666666664
FTI,1.22,0.961,1.479,0.131,125.015,-1.6,13.666666666666664
Miss,0.951,0.753,1.15,0.098,33.543,-1.6,14.67948717948718
Hit,1.014,0.805,1.224,0.104,42.793,-1.6,14.67948717948718
RP,0.856,0.671,1.042,0.09,24.35,-1.6,14.67948717948718
FTI,1.034,0.791,1.277,0.122,82.342,-1.6,14.67948717948718
Miss,0.868,0.639,1.097,0.112,29.998,-1.6,15.692307692307693
Hit,0.928,0.69,1.165,0.117,35.849,-1.6,15.692307692307693
RP,0.802,0.584,1.021,0.106,23.93,-1.6,15.692307692307693
FTI,0.945,0.679,1.21,0.133,59.419,-1.6,15.692307692307693
Miss,0.841,0.584,1.099,0.126,28.551,-1.6,16.705128205128204
Hit,0.868,0.602,1.134,0.131,33.093,-1.6,16.705128205128204
RP,0.797,0.549,1.046,0.12,23.749,-1.6,16.705128205128204
FTI,0.898,0.606,1.19,0.145,50.866,-1.6,16.705128205128204
Miss,0.837,0.548,1.126,0.141,27.887,-1.6,17.71794871794872
Hit,0.817,0.52,1.114,0.146,31.842,-1.6,17.71794871794872
RP,0.805,0.525,1.084,0.135,23.665,-1.6,17.71794871794872
FTI,0.871,0.547,1.194,0.161,47.099,-1.6,17.71794871794872
Miss,0.843,0.51,1.176,0.162,27.715,-1.6,18.73076923076923
Hit,0.773,0.431,1.115,0.168,31.519,-1.6,18.73076923076923
RP,0.807,0.485,1.13,0.156,23.646,-1.6,18.73076923076923
FTI,0.852,0.48,1.223,0.185,46.131,-1.6,18.73076923076923
Miss,0.851,0.464,1.238,0.189,27.641,-1.6,19.743589743589748
Hit,0.735,0.338,1.132,0.195,31.377,-1.6,19.743589743589748
RP,0.801,0.426,1.176,0.182,23.638,-1.6,19.743589743589748
FTI,0.83,0.399,1.262,0.214,45.707,-1.6,19.743589743589748
Miss,0.851,0.413,1.289,0.213,27.385,-1.6,20.756410256410252
Hit,0.701,0.252,1.149,0.22,30.9,-1.6,20.756410256410252
RP,0.784,0.36,1.209,0.206,23.606,-1.6,20.756410256410252
FTI,0.8,0.314,1.285,0.241,44.301,-1.6,20.756410256410252
Miss,0.833,0.36,1.305,0.23,26.957,-1.6,21.76923076923077
Hit,0.671,0.188,1.154,0.237,30.106,-1.6,21.76923076923077
RP,0.758,0.298,1.218,0.223,23.55,-1.6,21.76923076923077
FTI,0.759,0.24,1.278,0.257,41.99,-1.6,21.76923076923077
Miss,0.796,0.309,1.282,0.237,26.393,-1.6,22.78205128205128
Hit,0.649,0.153,1.146,0.243,29.068,-1.6,22.78205128205128
RP,0.722,0.247,1.197,0.23,23.474,-1.6,22.78205128205128
FTI,0.71,0.182,1.239,0.261,39.023,-1.6,22.78205128205128
Miss,0.746,0.265,1.227,0.234,25.76,-1.6,23.794871794871803
Hit,0.635,0.146,1.123,0.239,27.913,-1.6,23.794871794871803
RP,0.677,0.205,1.148,0.228,23.388,-1.6,23.794871794871803
FTI,0.655,0.14,1.17,0.254,35.792,-1.6,23.794871794871803
Miss,0.69,0.231,1.148,0.223,25.251,-1.6,24.80769230769231
Hit,0.614,0.15,1.079,0.226,26.991,-1.6,24.80769230769231
RP,0.626,0.175,1.077,0.218,23.318,-1.6,24.80769230769231
FTI,0.593,0.107,1.078,0.239,33.271,-1.6,24.80769230769231
Miss,0.629,0.207,1.051,0.205,25.065,-1.6,25.820512820512818
Hit,0.575,0.148,1.002,0.208,26.655,-1.6,25.820512820512818
RP,0.573,0.158,0.989,0.201,23.292,-1.6,25.820512820512818
FTI,0.527,0.082,0.971,0.218,32.366,-1.6,25.820512820512818
Miss,0.565,0.193,0.937,0.181,25.206,-1.6,26.83333333333333
Hit,0.515,0.137,0.892,0.184,26.91,-1.6,26.83333333333333
RP,0.521,0.155,0.888,0.177,23.312,-1.6,26.83333333333333
FTI,0.461,0.068,0.855,0.193,33.052,-1.6,26.83333333333333
Miss,0.5,0.186,0.814,0.153,25.644,-1.6,27.84615384615385
Hit,0.442,0.122,0.761,0.156,27.702,-1.6,27.84615384615385
RP,0.47,0.162,0.778,0.149,23.372,-1.6,27.84615384615385
FTI,0.4,0.064,0.735,0.165,35.211,-1.6,27.84615384615385
Miss,0.437,0.181,0.693,0.125,26.704,-1.6,28.85897435897436
Hit,0.37,0.109,0.632,0.128,29.64,-1.6,28.85897435897436
RP,0.417,0.167,0.667,0.121,23.516,-1.6,28.85897435897436
FTI,0.346,0.066,0.626,0.139,40.649,-1.6,28.85897435897436
Miss,0.379,0.174,0.585,0.1,28.702,-1.6,29.871794871794872
Hit,0.31,0.098,0.522,0.104,33.364,-1.6,29.871794871794872
RP,0.361,0.163,0.558,0.096,23.781,-1.6,29.871794871794872
FTI,0.299,0.066,0.532,0.116,51.661,-1.6,29.871794871794872
Miss,0.325,0.161,0.489,0.08,30.792,-1.6,30.884615384615387
Hit,0.261,0.09,0.431,0.084,37.355,-1.6,30.884615384615387
RP,0.301,0.146,0.457,0.075,24.05,-1.6,30.884615384615387
FTI,0.257,0.064,0.45,0.096,64.167,-1.6,30.884615384615387
Miss,0.273,0.143,0.403,0.064,31.689,-1.6,31.897435897435894
Hit,0.218,0.082,0.354,0.067,39.096,-1.6,31.897435897435894
RP,0.243,0.12,0.366,0.06,24.164,-1.6,31.897435897435894
FTI,0.216,0.061,0.371,0.078,69.823,-1.6,31.897435897435894
Miss,0.222,0.119,0.324,0.05,31.637,-1.6,32.91025641025641
Hit,0.176,0.068,0.283,0.053,38.993,-1.6,32.91025641025641
RP,0.19,0.093,0.287,0.047,24.158,-1.6,32.91025641025641
FTI,0.175,0.053,0.298,0.061,69.485,-1.6,32.91025641025641
Miss,0.172,0.093,0.252,0.039,31.578,-1.6,33.92307692307692
Hit,0.133,0.049,0.216,0.041,38.878,-1.6,33.92307692307692
RP,0.146,0.07,0.221,0.036,24.151,-1.6,33.92307692307692
FTI,0.137,0.042,0.231,0.047,69.108,-1.6,33.92307692307692
Miss,0.128,0.067,0.189,0.03,33.179,-1.6,34.93589743589744
Hit,0.092,0.029,0.156,0.032,42.02,-1.6,34.93589743589744
RP,0.11,0.053,0.167,0.028,24.349,-1.6,34.93589743589744
FTI,0.103,0.029,0.177,0.037,79.577,-1.6,34.93589743589744
Miss,0.091,0.045,0.138,0.023,40.507,-1.6,35.94871794871795
Hit,0.06,0.009,0.111,0.025,56.947,-1.6,35.94871794871795
RP,0.082,0.039,0.124,0.021,25.213,-1.6,35.94871794871795
FTI,0.075,0.013,0.137,0.031,133.313,-1.6,35.94871794871795
Miss,0.064,0.027,0.1,0.018,56.461,-1.6,36.96153846153846
Hit,0.037,-0.004,0.079,0.021,91.772,-1.6,36.96153846153846
RP,0.059,0.028,0.09,0.015,26.908,-1.6,36.96153846153846
FTI,0.053,-0.001,0.107,0.028,275.486,-1.6,36.96153846153846
Miss,0.043,0.015,0.072,0.014,75.363,-1.6,37.97435897435897
Hit,0.023,-0.009,0.056,0.017,135.683,-1.6,37.97435897435897
RP,0.041,0.018,0.063,0.011,28.72,-1.6,37.97435897435897
FTI,0.036,-0.008,0.081,0.023,473.431,-1.6,37.97435897435897
Miss,0.029,0.009,0.049,0.01,87.156,-1.6,38.987179487179496
Hit,0.015,-0.009,0.038,0.012,163.985,-1.6,38.987179487179496
RP,0.026,0.011,0.042,0.008,29.788,-1.6,38.987179487179496
FTI,0.024,-0.009,0.056,0.017,607.392,-1.6,38.987179487179496
Miss,0.019,0.006,0.032,0.006,87.666,-1.6,40.0
Hit,0.009,-0.006,0.024,0.008,165.216,-1.6,40.0
RP,0.016,0.006,0.026,0.005,29.836,-1.6,40.0
FTI,0.014,-0.007,0.035,0.011,613.275,-1.6,40.0
Miss,2.867,0.47,5.263,1.168,27.217,-1.55,0.5
Hit,3.087,0.632,5.542,1.203,30.597,-1.55,0.5
RP,3.126,0.797,5.454,1.127,23.574,-1.55,0.5
FTI,4.99,2.342,7.638,1.313,43.435,-1.55,0.5
Miss,1.113,0.557,1.668,0.27,25.851,-1.55,1.5128205128205128
Hit,1.106,0.541,1.671,0.276,28.085,-1.55,1.5128205128205128
RP,0.968,0.424,1.513,0.264,23.393,-1.55,1.5128205128205128
FTI,0.997,0.4,1.593,0.294,36.283,-1.55,1.5128205128205128
Miss,0.881,0.429,1.333,0.22,26.99,-1.55,2.525641025641025
Hit,0.713,0.25,1.175,0.226,30.177,-1.55,2.525641025641025
RP,0.822,0.382,1.261,0.213,23.545,-1.55,2.525641025641025
FTI,0.998,0.501,1.495,0.246,42.214,-1.55,2.525641025641025
Miss,0.865,0.574,1.157,0.142,27.349,-1.55,3.5384615384615383
Hit,0.703,0.404,1.002,0.147,30.844,-1.55,3.5384615384615383
RP,0.755,0.472,1.039,0.137,23.59,-1.55,3.5384615384615383
FTI,0.923,0.6,1.246,0.16,44.164,-1.55,3.5384615384615383
Miss,0.878,0.603,1.152,0.134,29.529,-1.55,4.55128205128205
Hit,0.789,0.505,1.074,0.14,34.955,-1.55,4.55128205128205
RP,0.836,0.573,1.099,0.127,23.868,-1.55,4.55128205128205
FTI,0.97,0.653,1.286,0.158,56.62,-1.55,4.55128205128205
Miss,0.938,0.652,1.223,0.14,31.752,-1.55,5.564102564102564
Hit,0.937,0.639,1.236,0.148,39.258,-1.55,5.564102564102564
RP,0.995,0.725,1.265,0.131,24.136,-1.55,5.564102564102564
FTI,1.137,0.796,1.478,0.171,70.46,-1.55,5.564102564102564
Miss,1.218,0.766,1.67,0.222,30.633,-1.55,6.5769230769230775
Hit,1.295,0.824,1.766,0.233,37.104,-1.55,6.5769230769230775
RP,1.312,0.881,1.742,0.208,23.98,-1.55,6.5769230769230775
FTI,1.361,0.829,1.893,0.266,63.5,-1.55,6.5769230769230775
Miss,1.669,0.962,2.376,0.346,28.801,-1.55,7.589743589743589
Hit,1.747,1.017,2.477,0.359,33.607,-1.55,7.589743589743589
RP,1.785,1.105,2.465,0.329,23.741,-1.55,7.589743589743589
FTI,1.724,0.918,2.53,0.402,52.534,-1.55,7.589743589743589
Miss,2.067,1.294,2.839,0.378,29.04,-1.55,8.602564102564102
Hit,2.0,1.201,2.798,0.393,34.077,-1.55,8.602564102564102
RP,2.209,1.468,2.951,0.359,23.755,-1.55,8.602564102564102
FTI,1.992,1.107,2.876,0.441,54.024,-1.55,8.602564102564102
Miss,2.366,1.622,3.11,0.364,30.184,-1.55,9.615384615384617
Hit,2.095,1.322,2.869,0.382,36.27,-1.55,9.615384615384617
RP,2.43,1.72,3.139,0.344,23.894,-1.55,9.615384615384617
FTI,2.156,1.287,3.025,0.434,60.916,-1.55,9.615384615384617
Miss,2.317,1.678,2.956,0.313,31.307,-1.55,10.628205128205126
Hit,2.0,1.333,2.668,0.33,38.43,-1.55,10.628205128205126
RP,2.274,1.669,2.878,0.293,24.047,-1.55,10.628205128205126
FTI,2.169,1.41,2.928,0.38,67.846,-1.55,10.628205128205126
Miss,1.904,1.453,2.354,0.221,33.461,-1.55,11.64102564102564
Hit,1.727,1.252,2.202,0.235,42.673,-1.55,11.64102564102564
RP,1.826,1.405,2.247,0.204,24.304,-1.55,11.64102564102564
FTI,1.963,1.411,2.514,0.277,82.046,-1.55,11.64102564102564
Miss,1.419,1.135,1.703,0.14,37.261,-1.55,12.653846153846152
Hit,1.398,1.094,1.702,0.151,50.398,-1.55,12.653846153846152
RP,1.355,1.094,1.616,0.126,24.709,-1.55,12.653846153846152
FTI,1.625,1.261,1.989,0.184,109.491,-1.55,12.653846153846152
Miss,1.072,0.874,1.271,0.098,39.15,-1.55,13.666666666666664
Hit,1.114,0.9,1.328,0.107,54.309,-1.55,13.666666666666664
RP,1.032,0.851,1.212,0.088,24.915,-1.55,13.666666666666664
FTI,1.306,1.046,1.566,0.131,123.966,-1.55,13.666666666666664
Miss,0.886,0.696,1.077,0.094,33.936,-1.55,14.67948717948718
Hit,0.924,0.723,1.125,0.1,43.59,-1.55,14.67948717948718
RP,0.874,0.696,1.052,0.086,24.385,-1.55,14.67948717948718
FTI,1.083,0.849,1.318,0.118,85.113,-1.55,14.67948717948718
Miss,0.804,0.589,1.019,0.105,29.989,-1.55,15.692307692307693
Hit,0.822,0.599,1.045,0.11,35.835,-1.55,15.692307692307693
RP,0.823,0.617,1.028,0.099,23.926,-1.55,15.692307692307693
FTI,0.953,0.703,1.203,0.125,59.383,-1.55,15.692307692307693
Miss,0.773,0.529,1.016,0.119,28.604,-1.55,16.705128205128204
Hit,0.775,0.524,1.026,0.123,33.193,-1.55,16.705128205128204
RP,0.817,0.583,1.051,0.113,23.755,-1.55,16.705128205128204
FTI,0.886,0.61,1.162,0.138,51.173,-1.55,16.705128205128204
Miss,0.771,0.492,1.051,0.136,28.402,-1.55,17.71794871794872
Hit,0.752,0.464,1.039,0.141,32.809,-1.55,17.71794871794872
RP,0.822,0.553,1.091,0.13,23.732,-1.55,17.71794871794872
FTI,0.859,0.543,1.174,0.157,50.001,-1.55,17.71794871794872
Miss,0.793,0.463,1.123,0.161,28.593,-1.55,18.73076923076923
Hit,0.733,0.392,1.074,0.168,33.167,-1.55,18.73076923076923
RP,0.823,0.505,1.141,0.154,23.76,-1.55,18.73076923076923
FTI,0.853,0.479,1.228,0.187,51.077,-1.55,18.73076923076923
Miss,0.826,0.437,1.216,0.19,28.607,-1.55,19.743589743589748
Hit,0.712,0.31,1.114,0.198,33.19,-1.55,19.743589743589748
RP,0.814,0.438,1.189,0.182,23.765,-1.55,19.743589743589748
FTI,0.855,0.413,1.297,0.22,51.139,-1.55,19.743589743589748
Miss,0.853,0.412,1.293,0.215,28.278,-1.55,20.756410256410252
Hit,0.69,0.237,1.143,0.223,32.569,-1.55,20.756410256410252
RP,0.789,0.365,1.214,0.206,23.724,-1.55,20.756410256410252
FTI,0.851,0.355,1.348,0.247,49.256,-1.55,20.756410256410252
Miss,0.855,0.384,1.327,0.23,27.723,-1.55,21.76923076923077
Hit,0.674,0.189,1.158,0.238,31.527,-1.55,21.76923076923077
RP,0.751,0.295,1.208,0.221,23.652,-1.55,21.76923076923077
FTI,0.83,0.304,1.356,0.261,46.144,-1.55,21.76923076923077
Miss,0.829,0.345,1.314,0.236,27.111,-1.55,22.78205128205128
Hit,0.668,0.172,1.163,0.243,30.391,-1.55,22.78205128205128
RP,0.704,0.234,1.175,0.228,23.571,-1.55,22.78205128205128
FTI,0.779,0.245,1.312,0.265,42.813,-1.55,22.78205128205128
Miss,0.782,0.3,1.265,0.235,26.559,-1.55,23.794871794871803
Hit,0.666,0.173,1.158,0.241,29.372,-1.55,23.794871794871803
RP,0.655,0.185,1.126,0.228,23.497,-1.55,23.794871794871803
FTI,0.697,0.171,1.222,0.26,39.883,-1.55,23.794871794871803
Miss,0.724,0.257,1.191,0.227,26.094,-1.55,24.80769230769231
Hit,0.652,0.176,1.127,0.232,28.52,-1.55,24.80769230769231
RP,0.608,0.15,1.065,0.221,23.434,-1.55,24.80769230769231
FTI,0.598,0.095,1.102,0.249,37.48,-1.55,24.80769230769231
Miss,0.66,0.226,1.094,0.211,25.761,-1.55,25.820512820512818
Hit,0.611,0.17,1.053,0.215,27.914,-1.55,25.820512820512818
RP,0.561,0.135,0.987,0.206,23.388,-1.55,25.820512820512818
FTI,0.505,0.04,0.97,0.229,35.795,-1.55,25.820512820512818
Miss,0.59,0.208,0.973,0.186,25.691,-1.55,26.83333333333333
Hit,0.545,0.156,0.933,0.19,27.787,-1.55,26.83333333333333
RP,0.513,0.138,0.889,0.182,23.379,-1.55,26.83333333333333
FTI,0.429,0.02,0.838,0.202,35.446,-1.55,26.83333333333333
Miss,0.516,0.197,0.835,0.155,26.118,-1.55,27.84615384615385
Hit,0.465,0.14,0.79,0.159,28.566,-1.55,27.84615384615385
RP,0.464,0.152,0.776,0.151,23.437,-1.55,27.84615384615385
FTI,0.373,0.028,0.718,0.17,37.608,-1.55,27.84615384615385
Miss,0.441,0.185,0.697,0.125,27.401,-1.55,28.85897435897436
Hit,0.388,0.126,0.65,0.129,30.929,-1.55,28.85897435897436
RP,0.413,0.164,0.661,0.12,23.609,-1.55,28.85897435897436
FTI,0.33,0.047,0.614,0.141,44.384,-1.55,28.85897435897436
Miss,0.37,0.168,0.572,0.099,29.667,-1.55,29.871794871794872
Hit,0.324,0.114,0.533,0.103,35.196,-1.55,29.871794871794872
RP,0.358,0.165,0.552,0.094,23.906,-1.55,29.871794871794872
FTI,0.292,0.058,0.526,0.117,57.317,-1.55,29.871794871794872
Miss,0.307,0.146,0.468,0.079,31.854,-1.55,30.884615384615387
Hit,0.273,0.104,0.441,0.083,39.418,-1.55,30.884615384615387
RP,0.302,0.15,0.454,0.074,24.185,-1.55,30.884615384615387
FTI,0.252,0.06,0.445,0.097,70.882,-1.55,30.884615384615387
Miss,0.25,0.121,0.379,0.063,32.319,-1.55,31.897435897435894
Hit,0.23,0.094,0.365,0.067,40.325,-1.55,31.897435897435894
RP,0.246,0.124,0.368,0.059,24.245,-1.55,31.897435897435894
FTI,0.21,0.054,0.365,0.078,73.879,-1.55,31.897435897435894
Miss,0.199,0.096,0.303,0.051,31.314,-1.55,32.91025641025641
Hit,0.189,0.081,0.297,0.053,38.362,-1.55,32.91025641025641
RP,0.194,0.096,0.292,0.047,24.12,-1.55,32.91025641025641
FTI,0.166,0.043,0.288,0.061,67.415,-1.55,32.91025641025641
Miss,0.154,0.072,0.235,0.04,30.468,-1.55,33.92307692307692
Hit,0.147,0.062,0.231,0.042,36.729,-1.55,33.92307692307692
RP,0.149,0.071,0.227,0.038,24.012,-1.55,33.92307692307692
FTI,0.125,0.029,0.22,0.048,62.151,-1.55,33.92307692307692
Miss,0.115,0.052,0.178,0.031,31.613,-1.55,34.93589743589744
Hit,0.105,0.04,0.171,0.032,38.946,-1.55,34.93589743589744
RP,0.112,0.053,0.171,0.029,24.157,-1.55,34.93589743589744
FTI,0.09,0.015,0.165,0.037,69.326,-1.55,34.93589743589744
Miss,0.084,0.036,0.132,0.024,37.584,-1.55,35.94871794871795
Hit,0.069,0.018,0.12,0.025,50.892,-1.55,35.94871794871795
RP,0.082,0.039,0.126,0.021,24.879,-1.55,35.94871794871795
FTI,0.064,0.003,0.125,0.031,110.801,-1.55,35.94871794871795
Miss,0.06,0.024,0.096,0.018,49.529,-1.55,36.96153846153846
Hit,0.042,0.003,0.082,0.02,76.314,-1.55,36.96153846153846
