condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
FTI,0.786,0.389,1.183,0.2,100.888,-2.0,18.73076923076923
Miss,0.992,0.629,1.356,0.179,36.561,-2.0,19.743589743589748
Hit,0.697,0.309,1.084,0.193,48.824,-2.0,19.743589743589748
RP,0.79,0.455,1.125,0.162,24.741,-2.0,19.743589743589748
FTI,0.798,0.336,1.259,0.233,103.383,-2.0,19.743589743589748
Miss,1.037,0.619,1.456,0.206,37.346,-2.0,20.756410256410252
Hit,0.671,0.224,1.117,0.223,50.419,-2.0,20.756410256410252
RP,0.77,0.386,1.153,0.186,24.839,-2.0,20.756410256410252
FTI,0.8,0.265,1.335,0.27,109.124,-2.0,20.756410256410252
Miss,1.088,0.62,1.556,0.231,38.327,-2.0,21.76923076923077
Hit,0.625,0.123,1.127,0.25,52.429,-2.0,21.76923076923077
RP,0.743,0.316,1.17,0.207,24.957,-2.0,21.76923076923077
FTI,0.779,0.175,1.384,0.305,116.46,-2.0,21.76923076923077
Miss,1.118,0.615,1.621,0.249,38.502,-2.0,22.78205128205128
Hit,0.565,0.025,1.105,0.269,52.785,-2.0,22.78205128205128
RP,0.713,0.254,1.172,0.223,24.981,-2.0,22.78205128205128
FTI,0.736,0.084,1.387,0.329,117.759,-2.0,22.78205128205128
Miss,1.101,0.586,1.616,0.254,37.397,-2.0,23.794871794871803
Hit,0.504,-0.047,1.054,0.274,50.512,-2.0,23.794871794871803
RP,0.684,0.212,1.156,0.229,24.854,-2.0,23.794871794871803
FTI,0.679,0.019,1.338,0.333,109.427,-2.0,23.794871794871803
Miss,1.026,0.527,1.525,0.246,35.66,-2.0,24.80769230769231
Hit,0.453,-0.077,0.983,0.264,46.979,-2.0,24.80769230769231
RP,0.653,0.191,1.114,0.224,24.65,-2.0,24.80769230769231
FTI,0.621,-0.006,1.248,0.316,96.751,-2.0,24.80769230769231
Miss,0.904,0.444,1.365,0.227,34.786,-2.0,25.820512820512818
Hit,0.417,-0.07,0.905,0.242,45.219,-2.0,25.820512820512818
RP,0.615,0.187,1.043,0.207,24.546,-2.0,25.820512820512818
FTI,0.568,-0.004,1.14,0.288,90.568,-2.0,25.820512820512818
Miss,0.764,0.352,1.176,0.203,36.823,-2.0,26.83333333333333
Hit,0.395,-0.044,0.835,0.219,49.333,-2.0,26.83333333333333
RP,0.57,0.191,0.949,0.184,24.791,-2.0,26.83333333333333
FTI,0.517,-0.007,1.041,0.264,105.145,-2.0,26.83333333333333
Miss,0.629,0.263,0.995,0.182,43.546,-2.0,27.84615384615385
Hit,0.38,-0.019,0.778,0.199,63.345,-2.0,27.84615384615385
RP,0.518,0.192,0.844,0.159,25.566,-2.0,27.84615384615385
FTI,0.463,-0.033,0.958,0.251,157.898,-2.0,27.84615384615385
Miss,0.514,0.193,0.835,0.16,53.668,-2.0,28.85897435897436
Hit,0.361,0.003,0.719,0.18,85.437,-2.0,28.85897435897436
RP,0.46,0.185,0.734,0.134,26.659,-2.0,28.85897435897436
FTI,0.402,-0.062,0.866,0.236,248.168,-2.0,28.85897435897436
Miss,0.421,0.152,0.691,0.135,60.665,-2.0,29.871794871794872
Hit,0.332,0.028,0.636,0.153,101.249,-2.0,29.871794871794872
RP,0.397,0.172,0.622,0.11,27.374,-2.0,29.871794871794872
FTI,0.338,-0.065,0.741,0.205,316.535,-2.0,29.871794871794872
Miss,0.347,0.136,0.558,0.105,58.177,-2.0,30.884615384615387
Hit,0.29,0.052,0.527,0.12,95.592,-2.0,30.884615384615387
RP,0.331,0.153,0.509,0.087,27.119,-2.0,30.884615384615387
FTI,0.274,-0.038,0.586,0.159,291.809,-2.0,30.884615384615387
Miss,0.286,0.13,0.442,0.078,48.793,-2.0,31.897435897435894
Hit,0.236,0.063,0.409,0.087,74.681,-2.0,31.897435897435894
RP,0.266,0.13,0.402,0.066,26.133,-2.0,31.897435897435894
FTI,0.215,-0.004,0.435,0.111,203.369,-2.0,31.897435897435894
Miss,0.232,0.118,0.347,0.057,42.253,-2.0,32.91025641025641
Hit,0.179,0.054,0.303,0.062,60.623,-2.0,32.91025641025641
RP,0.206,0.104,0.309,0.05,25.408,-2.0,32.91025641025641
FTI,0.164,0.011,0.318,0.078,147.379,-2.0,32.91025641025641
Miss,0.185,0.1,0.27,0.042,43.924,-2.0,33.92307692307692
Hit,0.126,0.033,0.22,0.047,64.188,-2.0,33.92307692307692
RP,0.155,0.079,0.231,0.037,25.582,-2.0,33.92307692307692
FTI,0.123,0.007,0.239,0.059,161.323,-2.0,33.92307692307692
Miss,0.144,0.08,0.208,0.032,52.779,-2.0,34.93589743589744
Hit,0.085,0.014,0.156,0.036,83.562,-2.0,34.93589743589744
RP,0.113,0.058,0.168,0.027,26.502,-2.0,34.93589743589744
FTI,0.09,-0.001,0.182,0.047,240.609,-2.0,34.93589743589744
Miss,0.108,0.062,0.155,0.023,66.85,-2.0,35.94871794871795
Hit,0.054,0.001,0.108,0.027,115.781,-2.0,35.94871794871795
RP,0.08,0.042,0.118,0.019,27.848,-2.0,35.94871794871795
FTI,0.066,-0.006,0.137,0.037,382.461,-2.0,35.94871794871795
Miss,0.078,0.044,0.111,0.017,83.135,-2.0,36.96153846153846
Hit,0.034,-0.005,0.074,0.02,154.576,-2.0,36.96153846153846
RP,0.055,0.029,0.081,0.013,29.291,-2.0,36.96153846153846
FTI,0.046,-0.008,0.101,0.028,563.852,-2.0,36.96153846153846
Miss,0.052,0.028,0.075,0.012,95.002,-2.0,37.97435897435897
Hit,0.022,-0.006,0.049,0.014,183.507,-2.0,37.97435897435897
RP,0.037,0.019,0.054,0.009,30.295,-2.0,37.97435897435897
FTI,0.032,-0.007,0.071,0.02,704.081,-2.0,37.97435897435897
Miss,0.032,0.017,0.047,0.008,96.212,-2.0,38.987179487179496
Hit,0.014,-0.004,0.032,0.009,186.482,-2.0,38.987179487179496
RP,0.024,0.012,0.035,0.006,30.393,-2.0,38.987179487179496
FTI,0.021,-0.004,0.046,0.013,718.715,-2.0,38.987179487179496
Miss,0.018,0.009,0.027,0.005,85.151,-2.0,40.0
Hit,0.009,-0.002,0.019,0.005,159.494,-2.0,40.0
RP,0.015,0.008,0.022,0.003,29.449,-2.0,40.0
FTI,0.013,-0.001,0.028,0.007,587.595,-2.0,40.0
Miss,3.316,0.595,6.036,1.329,28.391,-1.95,0.5
Hit,3.648,0.844,6.451,1.378,32.794,-1.95,0.5
RP,3.655,1.032,6.279,1.27,23.727,-1.95,0.5
FTI,5.584,2.509,8.659,1.531,49.963,-1.95,0.5
Miss,1.14,0.462,1.818,0.33,26.63,-1.95,1.5128205128205128
Hit,1.158,0.465,1.851,0.339,29.511,-1.95,1.5128205128205128
RP,1.031,0.369,1.692,0.32,23.498,-1.95,1.5128205128205128
