channel,betas,pvals,tstat,time,frequency
Cz,-0.02308743748455506,0.6748581479674509,-0.4195237916793811,-0.45,3.5384615384615383
F1,0.0002234460393716096,0.9969306415859776,0.003847147471790499,-0.45,3.5384615384615383
P1,-0.016822026833541136,0.861001796833615,-0.17511176497172387,-0.45,3.5384615384615383
C3,0.059525646322244295,0.2080575333069831,1.259147978422725,-0.45,3.5384615384615383
Cz,-0.053958274984782485,0.4044737627148087,-0.8337552910607752,-0.45,4.55128205128205
F1,0.06014254767629521,0.4523727685174339,0.7515462104425003,-0.45,4.55128205128205
P1,0.06007572993247336,0.47573488008029563,0.7132542463152215,-0.45,4.55128205128205
C3,0.06416123608296663,0.20955646648357165,1.2550074664692756,-0.45,4.55128205128205
Cz,-0.07914922943280395,0.4083672109524302,-0.8268667505140901,-0.45,5.564102564102564
F1,-0.07190222367608871,0.5947276371281833,-0.5320446895801151,-0.45,5.564102564102564
P1,0.021616514996539077,0.838691810538259,0.20358170005856385,-0.45,5.564102564102564
C3,0.02383315629417901,0.7557964520185037,0.31102902576221886,-0.45,5.564102564102564
Cz,-0.035902535685134476,0.8024905280286099,-0.25014343249333126,-0.45,6.5769230769230775
F1,-0.1262110698432555,0.46947345959654274,-0.7234116824703005,-0.45,6.5769230769230775
P1,-0.02853603724385193,0.8590255205148879,-0.17762733576594206,-0.45,6.5769230769230775
C3,0.06164626521186041,0.5074148418938342,0.6629339554561576,-0.45,6.5769230769230775
Cz,0.0946779991498372,0.6078014196356865,0.5132587620490451,-0.45,7.589743589743589
F1,0.008825466111688465,0.9658260589951562,0.04284672947875976,-0.45,7.589743589743589
P1,0.10248306493406599,0.6822561587888428,0.40941911973156453,-0.45,7.589743589743589
C3,0.12182264594498267,0.2623241948275581,1.1210880574024227,-0.45,7.589743589743589
Cz,0.078263834185001,0.6985215557285522,0.3873475168939259,-0.45,8.602564102564102
F1,0.1333803814816241,0.5815669491855926,0.5511465938530542,-0.45,8.602564102564102
P1,0.30297326913794004,0.37020399205472376,0.8962021052494303,-0.45,8.602564102564102
C3,0.155309675800883,0.18972142958074942,1.311648196446367,-0.45,8.602564102564102
Cz,-0.038675294941675084,0.8472103551243317,-0.19269272057415393,-0.45,9.615384615384617
F1,0.13887145313538177,0.6069935232485739,0.514414315828162,-0.45,9.615384615384617
P1,0.38861427815702676,0.3289422382230781,0.976377399137033,-0.45,9.615384615384617
C3,0.16206365143282414,0.19604463969750027,1.2931397414216512,-0.45,9.615384615384617
Cz,-0.07119661199393536,0.6676698806865045,-0.42938302104152887,-0.45,10.628205128205126
F1,0.07092050286436061,0.7664399038399667,0.29705700910501115,-0.45,10.628205128205126
P1,0.3524747748778198,0.3523263621114443,0.9302053083513898,-0.45,10.628205128205126
C3,0.1790701241329032,0.1192242914624484,1.5584041065025005,-0.45,10.628205128205126
Cz,-0.03338157486432849,0.7677364069197146,-0.2953590989778116,-0.45,11.64102564102564
F1,-0.02584518844896208,0.8785688783426409,-0.15279438860096434,-0.45,11.64102564102564
P1,0.2566340030735066,0.36761414368507983,0.9010633364314504,-0.45,11.64102564102564
C3,0.1744410531536267,0.0559564835506054,1.9119857683378665,-0.45,11.64102564102564
Cz,0.011146668753337188,0.8738160308600018,0.15882444457500106,-0.45,12.653846153846152
F1,-0.10012280981689407,0.3727083059498264,-0.8915217734907555,-0.45,12.653846153846152
P1,0.16729385798683272,0.34639503363516055,0.9417265618823559,-0.45,12.653846153846152
C3,0.12279581236240436,0.07142112041536353,1.8033195150923065,-0.45,12.653846153846152
Cz,0.03397920288706797,0.45360660439453204,0.7494978512002136,-0.45,13.666666666666664
F1,-0.13084045322497362,0.1289827938292776,-1.5184771084575597,-0.45,13.666666666666664
P1,0.10109198438549945,0.3243428604576133,0.985706181368476,-0.45,13.666666666666664
C3,0.058216352662543075,0.2667186774609076,1.1108224430978855,-0.45,13.666666666666664
Cz,0.032156962217726015,0.3459324840605984,0.9426343660080251,-0.45,14.67948717948718
F1,-0.1331897372645592,0.08664086942665375,-1.7138747614677756,-0.45,14.67948717948718
